symbol1,symbol2,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
IL32,NABP1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0005125, GO:0005615, GO:0005829, GO:0016020, GO:0006952, GO:0005515, GO:0006955, GO:0007155, GO:0010469, GO:0019221","GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784"
BTG2,JUNB,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0019221, GO:0009314, GO:0060716, GO:0001077, GO:0000785, GO:0003677, GO:0060136, GO:0010941, GO:0032496, GO:0001649, GO:0034097, GO:0035976, GO:0001829, GO:0000122, GO:0033687, GO:0003714, GO:0003713, GO:0009612, GO:0010033, GO:0005654, GO:0006366, GO:0000981, GO:0042127, GO:0005667, GO:0008134, GO:0030316, GO:0071277, GO:0045597, GO:0000790, GO:0051591, GO:0000978, GO:0001570, GO:0051726, GO:0042493, GO:0032870, GO:0006357, GO:0045944, GO:0005515, GO:0046697"
CDH1,KRT8,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0007416, GO:0035635, GO:0015629, GO:0034332, GO:0016339, GO:0032794, GO:0009898, GO:0007043, GO:0051301, GO:0031175, GO:0021983, GO:0007275, GO:0022408, GO:0072425, GO:0000902, GO:0050839, GO:0040020, GO:0070062, GO:0016600, GO:0070979, GO:0097027, GO:0016021, GO:0009636, GO:0005654, GO:0098609, GO:0030198, GO:0005509, GO:1904668, GO:0048471, GO:0042802, GO:0042803, GO:0008284, GO:0005737, GO:0016328, GO:0006281, GO:0030027, GO:0070306, GO:0009986, GO:0031965, GO:0048699, GO:0008013, GO:0006974, GO:0072659, GO:0005913, GO:0045893, GO:0005886, GO:0042307, GO:0044331, GO:0007156, GO:0030506, GO:0010997, GO:0071681, GO:0007049, GO:0031145, GO:0071285, GO:0008092, GO:0043296, GO:0030054, GO:0005802, GO:0016342, GO:0045295, GO:0045296, GO:0030864, GO:0045732, GO:0005576, GO:0005515, GO:0090344, GO:0005768, GO:0005829, GO:0005680","GO:0033209, GO:0097191, GO:0044877, GO:0030018, GO:0005737, GO:0045111, GO:0070062, GO:0005634, GO:0005198, GO:0005654, GO:0016363, GO:0097284, GO:0045095, GO:0042383, GO:0016032, GO:0060706, GO:0016327, GO:0070268, GO:0005882, GO:0045214, GO:0005911, GO:0051599, GO:0051707, GO:0031424, GO:0005829, GO:0016010, GO:0097110, GO:0005515, GO:0043034"
BTG2,GEM,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0072686, GO:0007165, GO:0000278, GO:0005246, GO:0030496, GO:0005634, GO:0000287, GO:0003924, GO:0009898, GO:1903169, GO:0051310, GO:0007166, GO:0019003, GO:0005516, GO:0005515, GO:0006955, GO:0051276, GO:1901842, GO:0005886, GO:0051233, GO:0005525"
NABP1,RUNX1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0030111, GO:2000810, GO:0045652, GO:0045589, GO:0005654, GO:0000122, GO:0005634, GO:0045766, GO:0016513, GO:1902036, GO:0030854, GO:0006366, GO:0005524, GO:0033146, GO:0050855, GO:0030182, GO:0032743, GO:0045595, GO:0045893, GO:0045616, GO:0071425, GO:0044212, GO:0043231, GO:0001959, GO:0005829, GO:0001228, GO:0043378, GO:0006357, GO:0045944, GO:0000977, GO:0005515, GO:0048935, GO:0043371, GO:0030097, GO:0000978, GO:0045637, GO:0000981"
GADD45A,MT1X,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0005737, GO:0071280, GO:0071294, GO:0036018, GO:0005515, GO:0005634, GO:0006882, GO:0071276, GO:0008270, GO:0010038, GO:0045926, GO:0048471, GO:0046872, GO:0010273, GO:0050794"
BTG2,JUN,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0001102, GO:0030224, GO:0007612, GO:0051899, GO:0001077, GO:0043524, GO:0043525, GO:1902895, GO:0061029, GO:0003151, GO:0003713, GO:0009612, GO:0009314, GO:0042127, GO:0031103, GO:0005096, GO:0000790, GO:0031625, GO:0010033, GO:0007179, GO:0010634, GO:0044212, GO:0060395, GO:0005829, GO:0045657, GO:0005667, GO:0031953, GO:0003677, GO:0000228, GO:0035994, GO:0005719, GO:0043547, GO:0005654, GO:0006366, GO:0000982, GO:0000981, GO:0000980, GO:1990441, GO:0007623, GO:0034097, GO:0071277, GO:0071276, GO:0001774, GO:0043392, GO:0038095, GO:0042542, GO:2000144, GO:0035497, GO:0046982, GO:0048146, GO:0019899, GO:0035026, GO:0000122, GO:0005634, GO:0035976, GO:0045740, GO:0042802, GO:0042803, GO:0008285, GO:0008134, GO:0045597, GO:0032870, GO:0045892, GO:0045893, GO:0043922, GO:0043923, GO:0051090, GO:0007568, GO:0042493, GO:0045944, GO:0003723, GO:0005515, GO:0070374, GO:0001889, GO:0001525, GO:0032496, GO:0001190, GO:0003682, GO:0043065, GO:0070412, GO:1904707, GO:0017053, GO:0034614, GO:0051365, GO:0007265, GO:0071837, GO:0000978, GO:0051726, GO:0003700, GO:0010941, GO:0003705, GO:0001836, GO:0001938, GO:0051591"
NABP1,SEMA6B,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0030335, GO:0071526, GO:0030215, GO:0007399, GO:0030154, GO:0048843, GO:0001755, GO:0045499, GO:0005887, GO:0050919, GO:0005615"
GADD45A,MAFF,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0043565, GO:0001701, GO:0045604, GO:0005634, GO:0007567, GO:0001228, GO:0005739, GO:0007596, GO:0005654, GO:0045944, GO:0005515, GO:0006366, GO:0035914, GO:0000981"
GADD45A,SOCS2,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0007595, GO:0005070, GO:0046935, GO:0032355, GO:0005942, GO:0009966, GO:0009967, GO:0007259, GO:0045666, GO:0046854, GO:0043687, GO:0038111, GO:0005737, GO:0005131, GO:0005159, GO:0043066, GO:0046627, GO:0032870, GO:0001558, GO:0060749, GO:0008269, GO:0040015, GO:0060396, GO:0016567, GO:0005515, GO:0005829"
