"genes"	"modules"
"1"	"TG"	"M4"
"2"	"MT.ND4"	"M8"
"3"	"MT.CO3"	"M10"
"4"	"MT.CO1"	"M8"
"5"	"MT.CYB"	"M8"
"6"	"GPX3"	"Not.Correlated"
"7"	"MT.ND1"	"M8"
"8"	"EEF1A1"	"M8"
"9"	"MT.ND5"	"M8"
"10"	"CTSB"	"Not.Correlated"
"11"	"TPO"	"M4"
"12"	"MT.ATP8"	"M8"
"13"	"VIM"	"M8"
"14"	"PAX8"	"M4"
"15"	"HSP90B1"	"M10"
"16"	"B2M"	"M2"
"17"	"CLU"	"Not.Correlated"
"18"	"MT.ND4L"	"M8"
"19"	"UBC"	"M1"
"20"	"IGFBP5"	"M7"
"21"	"GSN"	"M3"
"22"	"IYD"	"M4"
"23"	"TXNIP"	"M7"
"24"	"TIMP3"	"M7"
"25"	"DCN"	"M3"
"26"	"SLC25A29"	"M5"
"27"	"FCGBP"	"M4"
"28"	"HLA.B"	"M2"
"29"	"SLC26A7"	"M4"
"30"	"CD24"	"M4"
"31"	"CALR"	"M10"
"32"	"HSPA5"	"M10"
"33"	"MT.ND6"	"M8"
"34"	"CD74"	"M2"
"35"	"PLEKHH1"	"M4"
"36"	"APOD"	"M6"
"37"	"INPP5J"	"M2"
"38"	"PLPP3"	"M4"
"39"	"HSP90AA1"	"M8"
"40"	"NPNT"	"M7"
"41"	"LTBP4"	"M3"
"42"	"HSPA8"	"M8"
"43"	"RAP1GAP"	"M4"
"44"	"PDIA3"	"M10"
"45"	"KRT7"	"M4"
"46"	"DUSP1"	"M1"
"47"	"C1R"	"M6"
"48"	"BGN"	"M3"
"49"	"LIPG"	"M4"
"50"	"COL1A2"	"M3"
"51"	"C1S"	"M6"
"52"	"COL6A3"	"M6"
"53"	"TAGLN"	"M9"
"54"	"ZFP36L1"	"M1"
"55"	"NR4A1"	"M1"
"56"	"NKX2.1"	"M4"
"57"	"SNX22"	"M5"
"58"	"TSHR"	"M4"
"59"	"LRP1"	"M6"
"60"	"TFF3"	"M4"
"61"	"VWF"	"M6"
"62"	"RASSF4"	"M7"
"63"	"ZFP36"	"M1"
"64"	"HSPB1"	"M8"
"65"	"FHL1"	"M3"
"66"	"TSC22D3"	"M7"
"67"	"SDC2"	"M4"
"68"	"CFH"	"M3"
"69"	"PKHD1L1"	"M4"
"70"	"C3"	"M6"
"71"	"EPS8L2"	"M7"
"72"	"ATP1B1"	"M4"
"73"	"ANXA1"	"M1"
"74"	"IVD"	"M7"
"75"	"PER1"	"M1"
"76"	"SELENBP1"	"M10"
"77"	"PDIA6"	"M10"
"78"	"AEBP1"	"M3"
"79"	"C7"	"M6"
"80"	"CAV1"	"M4"
"81"	"PGGHG"	"M4"
"82"	"KCNJ16"	"M2"
"83"	"SORD"	"M4"
"84"	"KRT8"	"M4"
"85"	"STEAP4"	"M6"
"86"	"C4B"	"M1"
"87"	"NUPR1"	"M7"
"88"	"CRYAB"	"M8"
"89"	"DUOX1"	"M4"
"90"	"PDE8B"	"M4"
"91"	"FBLN1"	"M3"
"92"	"SLC26A4"	"M4"
"93"	"CORO6"	"Not.Correlated"
"94"	"COL3A1"	"M3"
"95"	"IGFN1"	"M4"
"96"	"JUN"	"M1"
"97"	"EGR1"	"M1"
"98"	"MATN2"	"M4"
