symbol1,symbol2,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
BTG2,DHCR24,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0008104, GO:0005783, GO:0000246, GO:0019899, GO:0005789, GO:0061024, GO:0033490, GO:0042987, GO:1901214, GO:0005856, GO:0050660, GO:0016628, GO:0042605, GO:0016021, GO:0016020, GO:0031639, GO:0005737, GO:0043066, GO:0008202, GO:0043588, GO:0008285, GO:0033489, GO:0006915, GO:0009888, GO:0007050, GO:0007265, GO:0006979, GO:0055114, GO:0050614, GO:0016614, GO:0009725, GO:0005829, GO:0030539, GO:0000139, GO:0043154, GO:0006695, GO:0005634"
BTG2,SOX7,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0030154, GO:0009653, GO:0005737, GO:0043565, GO:0001706, GO:0000122, GO:0005634, GO:0005654, GO:0044798, GO:0043280, GO:0000981, GO:0008285, GO:0045892, GO:0045893, GO:0044212, GO:0003700, GO:0003705, GO:0006355, GO:0006357, GO:0006351, GO:0005515, GO:0060828"
BTG2,TIMP1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0005125, GO:0019221, GO:0005788, GO:0008270, GO:0043086, GO:0051045, GO:0044267, GO:0005615, GO:0031093, GO:0002576, GO:0070062, GO:0043066, GO:0002020, GO:1901164, GO:0022617, GO:0002248, GO:0008284, GO:0034097, GO:1905049, GO:0043687, GO:2001044, GO:0001775, GO:0051216, GO:0030414, GO:0010951, GO:0008191, GO:0043434, GO:0010033, GO:0008083, GO:0005604, GO:0007568, GO:0010469, GO:0005576, GO:0005515, GO:0009725, GO:0005578"
BAIAP3,SCG2,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0035774, GO:0006887, GO:0042147, GO:1990502, GO:0001956, GO:0000149, GO:0005543, GO:0031902, GO:0032588, GO:1905413, GO:0019905, GO:0005509, GO:0005515, GO:0005886, GO:0031045, GO:0098793, GO:0032228, GO:0007186, GO:0005829, GO:0031901, GO:0055038","GO:0018024, GO:0005125, GO:0032925, GO:0042056, GO:0098992, GO:0050680, GO:0005788, GO:0044212, GO:0009411, GO:0000785, GO:0000784, GO:0046329, GO:0048245, GO:0035556, GO:0001525, GO:1904837, GO:0005737, GO:0044267, GO:0032092, GO:0045786, GO:0003309, GO:0000122, GO:0005615, GO:0071559, GO:0005634, GO:0010332, GO:0000165, GO:0005654, GO:0046697, GO:0034968, GO:0070412, GO:0071333, GO:0051974, GO:0003690, GO:0016363, GO:0010469, GO:0043687, GO:0045736, GO:2001237, GO:0008285, GO:0001938, GO:0061469, GO:0000278, GO:0006281, GO:0009306, GO:0030141, GO:0010812, GO:0050930, GO:0030674, GO:2000352, GO:0032154, GO:0006974, GO:0000790, GO:0045892, GO:0006954, GO:0050918, GO:0043433, GO:0030511, GO:0071375, GO:0000403, GO:0000400, GO:0032991, GO:0007420, GO:0047485, GO:0005829, GO:0043542, GO:0035097, GO:0045668, GO:1902807, GO:0006357, GO:0045944, GO:0006351, GO:0005515, GO:0001933, GO:0003682, GO:0001937, GO:0002076"
GADD45A,STC1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0071385, GO:0060348, GO:0001503, GO:0033280, GO:0044070, GO:0005737, GO:0001886, GO:0005615, GO:0005634, GO:0071456, GO:0010469, GO:0005179, GO:0030336, GO:1903403, GO:0016324, GO:0006874, GO:0035988, GO:0090280, GO:0010596, GO:0051926, GO:0007566, GO:0071320, GO:0086004, GO:0003421, GO:0046697"
GJA4,NABP1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0005515, GO:0003158, GO:0001568, GO:0006816, GO:0007043, GO:0005887, GO:0007267, GO:0048265, GO:0005922, GO:0005921","GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784"
GADD45A,TIMP1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0005125, GO:0019221, GO:0005788, GO:0008270, GO:0043086, GO:0051045, GO:0044267, GO:0005615, GO:0031093, GO:0002576, GO:0070062, GO:0043066, GO:0002020, GO:1901164, GO:0022617, GO:0002248, GO:0008284, GO:0034097, GO:1905049, GO:0043687, GO:2001044, GO:0001775, GO:0051216, GO:0030414, GO:0010951, GO:0008191, GO:0043434, GO:0010033, GO:0008083, GO:0005604, GO:0007568, GO:0010469, GO:0005576, GO:0005515, GO:0009725, GO:0005578"
ISG15,SERPINA1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0032649, GO:0051607, GO:0005515, GO:0032480, GO:0045648, GO:0019985, GO:0005829, GO:0006281, GO:0019941, GO:0045071, GO:0034340, GO:0005654, GO:0005576, GO:0042742, GO:0016032, GO:0031397, GO:0060337, GO:0030501, GO:0031386, GO:0032020","GO:0048208, GO:0005783, GO:0007596, GO:0033116, GO:0005788, GO:1904813, GO:0030134, GO:0044267, GO:0006888, GO:0005615, GO:0031093, GO:0002576, GO:0002020, GO:0042802, GO:0005794, GO:0043687, GO:0006953, GO:0004867, GO:0010951, GO:0070062, GO:0043231, GO:0043312, GO:0000139, GO:0005576, GO:0005515"
BTG2,HIF3A,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0016607, GO:0006915, GO:0005634, GO:0005829, GO:0005886, GO:0006366, GO:0005739, GO:0005654, GO:0006357, GO:0045944, GO:0003677, GO:0046983, GO:0001525, GO:0061418, GO:0043687, GO:0000981"
CDH1,SGCD,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0007416, GO:0035635, GO:0015629, GO:0034332, GO:0016339, GO:0032794, GO:0009898, GO:0007043, GO:0051301, GO:0031175, GO:0021983, GO:0007275, GO:0022408, GO:0072425, GO:0000902, GO:0050839, GO:0040020, GO:0070062, GO:0016600, GO:0070979, GO:0097027, GO:0016021, GO:0009636, GO:0005654, GO:0098609, GO:0030198, GO:0005509, GO:1904668, GO:0048471, GO:0042802, GO:0042803, GO:0008284, GO:0005737, GO:0016328, GO:0006281, GO:0030027, GO:0070306, GO:0009986, GO:0031965, GO:0048699, GO:0008013, GO:0006974, GO:0072659, GO:0005913, GO:0045893, GO:0005886, GO:0042307, GO:0044331, GO:0007156, GO:0030506, GO:0010997, GO:0071681, GO:0007049, GO:0031145, GO:0071285, GO:0008092, GO:0043296, GO:0030054, GO:0005802, GO:0016342, GO:0045295, GO:0045296, GO:0030864, GO:0045732, GO:0005576, GO:0005515, GO:0090344, GO:0005768, GO:0005829, GO:0005680","GO:0005737, GO:0005856, GO:0007517, GO:0042383, GO:0016021, GO:0016012, GO:0016010, GO:0060047, GO:0005515, GO:0005886"
BTG2,JUNB,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0019221, GO:0009314, GO:0060716, GO:0001077, GO:0000785, GO:0003677, GO:0060136, GO:0010941, GO:0032496, GO:0001649, GO:0034097, GO:0035976, GO:0001829, GO:0000122, GO:0033687, GO:0003714, GO:0003713, GO:0009612, GO:0010033, GO:0005654, GO:0006366, GO:0000981, GO:0042127, GO:0005667, GO:0008134, GO:0030316, GO:0071277, GO:0045597, GO:0000790, GO:0051591, GO:0000978, GO:0001570, GO:0051726, GO:0042493, GO:0032870, GO:0006357, GO:0045944, GO:0005515, GO:0046697"
CDH1,ESRP2,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0007416, GO:0035635, GO:0015629, GO:0034332, GO:0016339, GO:0032794, GO:0009898, GO:0007043, GO:0051301, GO:0031175, GO:0021983, GO:0007275, GO:0022408, GO:0072425, GO:0000902, GO:0050839, GO:0040020, GO:0070062, GO:0016600, GO:0070979, GO:0097027, GO:0016021, GO:0009636, GO:0005654, GO:0098609, GO:0030198, GO:0005509, GO:1904668, GO:0048471, GO:0042802, GO:0042803, GO:0008284, GO:0005737, GO:0016328, GO:0006281, GO:0030027, GO:0070306, GO:0009986, GO:0031965, GO:0048699, GO:0008013, GO:0006974, GO:0072659, GO:0005913, GO:0045893, GO:0005886, GO:0042307, GO:0044331, GO:0007156, GO:0030506, GO:0010997, GO:0071681, GO:0007049, GO:0031145, GO:0071285, GO:0008092, GO:0043296, GO:0030054, GO:0005802, GO:0016342, GO:0045295, GO:0045296, GO:0030864, GO:0045732, GO:0005576, GO:0005515, GO:0090344, GO:0005768, GO:0005829, GO:0005680","GO:0000380, GO:0050679, GO:0005634, GO:0043484, GO:0005654, GO:0060441, GO:0060445, GO:0003723, GO:0008543, GO:0003729"
