symbol1,symbol2,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
BTG2,JUNB,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0019221, GO:0009314, GO:0060716, GO:0001077, GO:0000785, GO:0003677, GO:0060136, GO:0010941, GO:0032496, GO:0001649, GO:0034097, GO:0035976, GO:0001829, GO:0000122, GO:0033687, GO:0003714, GO:0003713, GO:0009612, GO:0010033, GO:0005654, GO:0006366, GO:0000981, GO:0042127, GO:0005667, GO:0008134, GO:0030316, GO:0071277, GO:0045597, GO:0000790, GO:0051591, GO:0000978, GO:0001570, GO:0051726, GO:0042493, GO:0032870, GO:0006357, GO:0045944, GO:0005515, GO:0046697"
NABP1,RUNX1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0030111, GO:2000810, GO:0045652, GO:0045589, GO:0005654, GO:0000122, GO:0005634, GO:0045766, GO:0016513, GO:1902036, GO:0030854, GO:0006366, GO:0005524, GO:0033146, GO:0050855, GO:0030182, GO:0032743, GO:0045595, GO:0045893, GO:0045616, GO:0071425, GO:0044212, GO:0043231, GO:0001959, GO:0005829, GO:0001228, GO:0043378, GO:0006357, GO:0045944, GO:0000977, GO:0005515, GO:0048935, GO:0043371, GO:0030097, GO:0000978, GO:0045637, GO:0000981"
BTG2,JUN,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0001102, GO:0030224, GO:0007612, GO:0051899, GO:0001077, GO:0043524, GO:0043525, GO:1902895, GO:0061029, GO:0003151, GO:0003713, GO:0009612, GO:0009314, GO:0042127, GO:0031103, GO:0005096, GO:0000790, GO:0031625, GO:0010033, GO:0007179, GO:0010634, GO:0044212, GO:0060395, GO:0005829, GO:0045657, GO:0005667, GO:0031953, GO:0003677, GO:0000228, GO:0035994, GO:0005719, GO:0043547, GO:0005654, GO:0006366, GO:0000982, GO:0000981, GO:0000980, GO:1990441, GO:0007623, GO:0034097, GO:0071277, GO:0071276, GO:0001774, GO:0043392, GO:0038095, GO:0042542, GO:2000144, GO:0035497, GO:0046982, GO:0048146, GO:0019899, GO:0035026, GO:0000122, GO:0005634, GO:0035976, GO:0045740, GO:0042802, GO:0042803, GO:0008285, GO:0008134, GO:0045597, GO:0032870, GO:0045892, GO:0045893, GO:0043922, GO:0043923, GO:0051090, GO:0007568, GO:0042493, GO:0045944, GO:0003723, GO:0005515, GO:0070374, GO:0001889, GO:0001525, GO:0032496, GO:0001190, GO:0003682, GO:0043065, GO:0070412, GO:1904707, GO:0017053, GO:0034614, GO:0051365, GO:0007265, GO:0071837, GO:0000978, GO:0051726, GO:0003700, GO:0010941, GO:0003705, GO:0001836, GO:0001938, GO:0051591"
NABP1,OSMR,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0008284, GO:0043235, GO:0004924, GO:0019221, GO:0009897, GO:0016324, GO:0038165, GO:0019838, GO:0019955, GO:0005900, GO:0005886, GO:0004896, GO:0002675, GO:0034097"
NABP1,NAMPT,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0032922, GO:0005125, GO:0034356, GO:0008144, GO:0014070, GO:0047280, GO:0060612, GO:0051770, GO:0016607, GO:0070062, GO:0030054, GO:0010469, GO:0042802, GO:0042803, GO:0008284, GO:0008286, GO:0007623, GO:0048661, GO:0007267, GO:0004514, GO:0007565, GO:0005829, GO:0045944, GO:0005515, GO:0007165"
BTG2,NR4A1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0001077, GO:0008270, GO:0043401, GO:0003677, GO:0045444, GO:0004879, GO:0043565, GO:0030522, GO:0071376, GO:0005634, GO:0044344, GO:0005654, GO:0006367, GO:0035767, GO:0000981, GO:0000977, GO:0035259, GO:0061469, GO:0005667, GO:0031965, GO:0045786, GO:0005829, GO:0003707, GO:0001938, GO:0045944, GO:0002042, GO:0005515, GO:0000978, GO:0046982, GO:0035924, GO:0007165"
BTG2,SLC2A3,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0005355, GO:0019852, GO:0030667, GO:0005975, GO:0070062, GO:0070821, GO:0016021, GO:0070837, GO:0043312, GO:0055056, GO:0035579, GO:0101003, GO:0005887, GO:0005886, GO:1904659, GO:0033300, GO:0005536"
BTG2,FOS,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006479, GO:0045930, GO:0043524, GO:0031175, GO:0001078, GO:0014070, GO:0005737, GO:0070062, GO:0000122, GO:0005634, GO:0009612, GO:0035914, GO:0021954, GO:2000178, GO:0008285, GO:0006281, GO:0021542, GO:0060213, GO:0008306, GO:0043434, GO:0051602, GO:0006974, GO:0009952, GO:0005829, GO:0006977, GO:0006351, GO:0005515, GO:0017148","GO:0060395, GO:0001102, GO:1901216, GO:0001077, GO:0009416, GO:0051412, GO:1902895, GO:0032496, GO:0051090, GO:0001661, GO:0005783, GO:0035994, GO:0006306, GO:0001190, GO:0005634, GO:0016020, GO:0009636, GO:0045893, GO:0005654, GO:0070412, GO:0043005, GO:0006366, GO:0035914, GO:0045944, GO:0019221, GO:0000982, GO:0000981, GO:0046982, GO:0008134, GO:0034614, GO:0071277, GO:0071276, GO:0032870, GO:0038095, GO:0030431, GO:0006954, GO:0009409, GO:0007179, GO:0009629, GO:0044212, GO:0031668, GO:0000979, GO:0007568, GO:0032993, GO:0007399, GO:0003700, GO:0007565, GO:0005829, GO:0035902, GO:0051591, GO:0006357, GO:0045672, GO:0005515, GO:0032570, GO:0000978, GO:0003682, GO:0035976"
GADD45A,THBS1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982","GO:0032026, GO:0005783, GO:0034605, GO:0005788, GO:2001237, GO:0050921, GO:1903671, GO:0048266, GO:0051895, GO:0006986, GO:0043652, GO:0042535, GO:0009612, GO:2001027, GO:0002581, GO:0042327, GO:0051592, GO:0043536, GO:0040037, GO:0030511, GO:0030169, GO:0043236, GO:0045727, GO:0045652, GO:0030198, GO:0043032, GO:0030194, GO:0009897, GO:0018149, GO:0001953, GO:0002605, GO:0071356, GO:0051897, GO:0016477, GO:0002040, GO:0001968, GO:2000379, GO:0030141, GO:0007050, GO:0043394, GO:0006954, GO:0006955, GO:0070052, GO:0090051, GO:0070051, GO:0033574, GO:0043154, GO:0016525, GO:1902043, GO:0031012, GO:0001666, GO:0050431, GO:0031091, GO:0031093, GO:0005509, GO:0010763, GO:0001786, GO:0051918, GO:0008284, GO:0009986, GO:0017134, GO:2000353, GO:0010595, GO:0008201, GO:0071363, GO:0042493, GO:0002544, GO:0016529, GO:0042802, GO:0005515, GO:0032570, GO:0034976, GO:0000187, GO:0005615, GO:0002576, GO:0005577, GO:0045766, GO:0043066, GO:0010748, GO:0032695, GO:1903588, GO:0005178, GO:0030335, GO:0048661, GO:0032914, GO:0062023, GO:0007155, GO:0070062, GO:0043537, GO:0030823, GO:0010596, GO:0009749, GO:0010751, GO:0005576, GO:0010757, GO:0010754, GO:0010759, GO:0001937"
IFI44L,ISG15,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0005575, GO:0005737, GO:0003674, GO:0051607, GO:0005525","GO:0006974, GO:0032649, GO:0051607, GO:0005515, GO:0032480, GO:0045648, GO:0019985, GO:0005829, GO:0006281, GO:0019941, GO:0045071, GO:0034340, GO:0005654, GO:0005576, GO:0042742, GO:0016032, GO:0031397, GO:0060337, GO:0030501, GO:0031386, GO:0032020"
