"genes"	"modules"
"1"	"APOD"	"Not.Correlated"
"2"	"GLUL"	"M1"
"3"	"DCN"	"M3"
"4"	"MPZ"	"M2"
"5"	"MBP"	"M2"
"6"	"GPX3"	"M1"
"7"	"PMP22"	"M2"
"8"	"TXNIP"	"M1"
"9"	"PTGDS"	"M1"
"10"	"CD74"	"M1"
"11"	"PRX"	"M2"
"12"	"IGFBP5"	"M3"
"13"	"THBS1"	"M4"
"14"	"IGFBP4"	"M4"
"15"	"NR4A1"	"Not.Correlated"
"16"	"TSC22D3"	"M1"
"17"	"ADH1B"	"M1"
"18"	"MT.ND6"	"Not.Correlated"
"19"	"COL1A2"	"M3"
"20"	"NDRG2"	"M2"
"21"	"ABCA2"	"M2"
"22"	"SEMA3B"	"M2"
"23"	"AATK"	"M2"
"24"	"LGI4"	"M5"
"25"	"PLP1"	"M2"
"26"	"SLC2A1"	"M8"
"27"	"SAMHD1"	"M1"
"28"	"PRELP"	"M1"
"29"	"S100B"	"M2"
"30"	"IGFBP6"	"M8"
"31"	"ANGPTL7"	"M1"
"32"	"ZFP36"	"M4"
"33"	"AQP1"	"M1"
"34"	"ZFAND5"	"M1"
"35"	"DEPP1"	"M4"
"36"	"USP53"	"M1"
"37"	"PDK4"	"M1"
"38"	"FOS"	"M4"
"39"	"ACTA2"	"M7"
"40"	"DRP2"	"M2"
"41"	"DDIT4"	"M1"
"42"	"SUN2"	"M1"
"43"	"PMP2"	"M2"
"44"	"FBLN1"	"M3"
"45"	"SECISBP2L"	"M2"
"46"	"CFD"	"M3"
"47"	"ITGB8"	"M5"
"48"	"ADAMTS1"	"M4"
"49"	"COL1A1"	"M3"
"50"	"LPL"	"M2"
"51"	"NGFR"	"Not.Correlated"
"52"	"PIK3R1"	"M1"
"53"	"ATP1A1"	"M3"
"54"	"CDH19"	"M5"
"55"	"COL6A3"	"M5"
"56"	"JUN"	"M1"
"57"	"C3"	"M5"
"58"	"MAPK8IP1"	"M2"
"59"	"GPM6B"	"M2"
"60"	"CCN1"	"Not.Correlated"
"61"	"TSPYL2"	"M1"
"62"	"FKBP5"	"M1"
"63"	"SCD"	"M10"
"64"	"MICALL2"	"M2"
"65"	"KLF9"	"M1"
"66"	"TNXB"	"M3"
"67"	"MT2A"	"M3"
"68"	"HLA.DRA"	"M1"
"69"	"ATP1A2"	"M2"
"70"	"BCL6"	"M1"
"71"	"CCN2"	"M1"
"72"	"STAB1"	"M6"
"73"	"SCN7A"	"M5"
"74"	"JUNB"	"M1"
"75"	"MMP2"	"M2"
"76"	"MYH11"	"M7"
"77"	"CEBPD"	"M1"
"78"	"LAMA2"	"M1"
"79"	"SEMA4C"	"M2"
"80"	"GATM"	"M2"
"81"	"SOX10"	"M5"
"82"	"BHLHE40"	"M1"
"83"	"SFRP4"	"M3"
"84"	"NID1"	"M1"
"85"	"HLA.DRB1"	"M1"
"86"	"FASN"	"M10"
"87"	"FHL1"	"M7"
"88"	"SFRP5"	"M2"
"89"	"PLXNB3"	"M2"
"90"	"FSTL3"	"M1"
"91"	"RGS1"	"M6"
"92"	"IGF2"	"M3"
"93"	"MFAP5"	"M8"
"94"	"COL3A1"	"M3"
"95"	"VMP1"	"M4"
"96"	"PHC2"	"M3"
"97"	"HSPB1"	"Not.Correlated"
"98"	"COL16A1"	"M3"
"99"	"PLA2G2A"	"M5"
"100"	"MATN2"	"M3"
"101"	"STEAP4"	"M4"
"102"	"HSPA5"	"M4"
"103"	"TMOD2"	"M5"
"104"	"TGFBI"	"M1"
"105"	"ERBB3"	"M5"
"106"	"PPP1R12B"	"M3"
"107"	"PRIMA1"	"M5"
"108"	"LMOD1"	"M7"
"109"	"BGN"	"M3"
"110"	"BCAS1"	"M2"
"111"	"MAL"	"M2"
"112"	"NOTCH3"	"M7"
"113"	"BTG2"	"M1"
"114"	"THBS4"	"M3"
"115"	"PLEKHB1"	"M2"
"116"	"GSTM2"	"M9"
"117"	"FGL2"	"M8"
"118"	"ADAM33"	"M4"
"119"	"CADM4"	"M2"
"120"	"SORT1"	"M1"
"121"	"PAPLN"	"M4"
"122"	"HSPB6"	"M5"
"123"	"FMOD"	"M5"
"124"	"HLA.DPA1"	"M1"
"125"	"H1.0"	"Not.Correlated"
"126"	"TIMP1"	"M4"
"127"	"AKR1B1"	"M2"
"128"	"SGK1"	"M6"
"129"	"LTBP2"	"M3"
"130"	"COL14A1"	"M3"
"131"	"NNMT"	"M4"
"132"	"CD163"	"M6"
"133"	"FGF1"	"M2"
"134"	"ABI3BP"	"M3"
"135"	"SCUBE1"	"M1"
"136"	"X.250"	"M3"
"137"	"FOXO1"	"M1"
"138"	"KLF2"	"M8"
"139"	"NCAM1"	"M5"
"140"	"SERPINA3"	"M3"
"141"	"C4B"	"Not.Correlated"
"142"	"SCARA5"	"Not.Correlated"
"143"	"FIBIN"	"M1"
"144"	"TCEAL4"	"M1"
"145"	"MLIP"	"M2"
"146"	"ACSL1"	"M10"
"147"	"RELN"	"M2"
"148"	"SLC2A3"	"M4"
"149"	"OGFRL1"	"M1"
"150"	"MYOC"	"M3"
"151"	"L1CAM"	"M5"
"152"	"C7"	"M2"
"153"	"RASSF4"	"M1"
"154"	"ZMAT1"	"M9"
"155"	"ACACB"	"M1"
"156"	"SLC7A6"	"M1"
"157"	"EFEMP1"	"M3"
"158"	"CXCL14"	"M3"
"159"	"CYP1B1"	"M1"
"160"	"LMO7"	"M8"
"161"	"LUM"	"M3"
"162"	"FAM107A"	"M1"
"163"	"SORCS1"	"M5"
"164"	"NEDD9"	"M1"
"165"	"CYP4B1"	"M1"
"166"	"SLC22A3"	"M8"
"167"	"NCMAP"	"M2"
"168"	"METTL7A"	"M1"
"169"	"C4A"	"Not.Correlated"
"170"	"CTNNAL1"	"M5"
"171"	"TNC"	"M4"
"172"	"FLRT2"	"M3"
"173"	"DHCR24"	"M1"
"174"	"CLDN19"	"M2"
"175"	"PKDCC"	"M1"
"176"	"ABCA10"	"M9"
"177"	"HSPA1A"	"Not.Correlated"
"178"	"ACKR1"	"M4"
"179"	"NFASC"	"M2"
"180"	"MFAP4"	"M3"
"181"	"NEK1"	"M2"
"182"	"CLDN1"	"M8"
"183"	"CDKN1A"	"M4"
"184"	"CXCL12"	"M3"
"185"	"PRKCA"	"M2"
"186"	"ABTB1"	"M4"
"187"	"ISLR"	"M3"
"188"	"CCN5"	"M3"
"189"	"GAS2L3"	"M2"
"190"	"ARHGAP19"	"M2"
"191"	"PCOLCE"	"M3"
"192"	"GADD45B"	"M4"
"193"	"AASS"	"M1"
"194"	"ARHGEF37"	"M5"
"195"	"CD44"	"M1"
"196"	"GAB1"	"M3"
"197"	"COL28A1"	"M2"
"198"	"SVEP1"	"M5"
"199"	"KIF1A"	"M2"
"200"	"HSPA1B"	"Not.Correlated"
"201"	"ITM2C"	"M2"
"202"	"ANK3"	"M5"
"203"	"MME"	"M2"
"204"	"TNFAIP2"	"M1"
"205"	"FSCN1"	"M2"
"206"	"RGS5"	"M7"
"207"	"FGF7"	"M4"
"208"	"GALNT15"	"M1"
"209"	"VEGFA"	"M4"
"210"	"LIMCH1"	"M2"
"211"	"COL9A3"	"M2"
"212"	"GPNMB"	"M3"
"213"	"CNTF"	"M2"
"214"	"RGCC"	"M1"
"215"	"PTCH1"	"M8"
"216"	"SOX8"	"M2"
"217"	"PRXL2A"	"M1"
"218"	"CLDN5"	"Not.Correlated"
"219"	"EGR1"	"M1"
"220"	"C11orf96"	"M4"
"221"	"CRISPLD2"	"M4"
"222"	"ERRFI1"	"M1"
"223"	"FABP4"	"M10"
"224"	"KIF19"	"M2"
