"genes"	"modules"
"1"	"PRSS2"	"M1"
"2"	"PRSS1"	"M1"
"3"	"CPA1"	"M1"
"4"	"GP2"	"M1"
"5"	"CPB1"	"M1"
"6"	"CTRB2"	"M1"
"7"	"REG1A"	"M3"
"8"	"CEL"	"M1"
"9"	"CTRB1"	"M1"
"10"	"CELA3A"	"M1"
"11"	"PNLIP"	"M1"
"12"	"CLPS"	"M1"
"13"	"MT.CO1"	"M7"
"14"	"CELA3B"	"M1"
"15"	"CPA2"	"M1"
"16"	"REG1B"	"M3"
"17"	"PLA2G1B"	"M1"
"18"	"PNLIPRP1"	"M1"
"19"	"CTRC"	"M1"
"20"	"CELA2A"	"M1"
"21"	"AMY2A"	"M1"
"22"	"SPINK1"	"M3"
"23"	"AMY2B"	"M1"
"24"	"CELA2B"	"M1"
"25"	"PNLIPRP2"	"M1"
"26"	"CUZD1"	"M3"
"27"	"MT.ND5"	"Not.Correlated"
"28"	"MT.ND3"	"Not.Correlated"
"29"	"SERPINA3"	"M3"
"30"	"SYCN"	"M1"
"31"	"X.250"	"M3"
"32"	"PRSS3"	"M1"
"33"	"GATM"	"M1"
"34"	"ACTG1"	"M1"
"35"	"PGGHG"	"Not.Correlated"
"36"	"KLK1"	"M1"
"37"	"AMY1B"	"M1"
"38"	"PDCD4"	"M3"
"39"	"PDIA2"	"M1"
"40"	"ANPEP"	"M1"
"41"	"INS"	"M8"
"42"	"HSPA8"	"M3"
"43"	"X.139"	"M1"
"44"	"CTRL"	"M1"
"45"	"RBPJL"	"M1"
"46"	"SEL1L"	"M1"
"47"	"CD24"	"M3"
"48"	"MT.ND6"	"Not.Correlated"
"49"	"GOLGA8B"	"M1"
"50"	"MAT2A"	"Not.Correlated"
"51"	"ACTB"	"M1"
"52"	"INS.IGF2"	"M8"
"53"	"REG3A"	"M6"
"54"	"TXNIP"	"Not.Correlated"
"55"	"ALB"	"M1"
"56"	"MUC6"	"Not.Correlated"
"57"	"SLC39A14"	"M3"
"58"	"ERRFI1"	"Not.Correlated"
"59"	"SERPINI2"	"M1"
"60"	"BTG2"	"M2"
"61"	"REG3G"	"M6"
"62"	"B2M"	"M7"
"63"	"SLC4A4"	"M1"
"64"	"YBX3"	"M2"
"65"	"TPST2"	"M1"
"66"	"CFTR"	"M6"
"67"	"PDK4"	"Not.Correlated"
"68"	"RNASE1"	"M1"
"69"	"AZGP1"	"M1"
"70"	"TPM1"	"Not.Correlated"
"71"	"GCG"	"M8"
"72"	"DDIT4"	"M3"
"73"	"BNIP3"	"M3"
"74"	"C3"	"M6"
"75"	"ERP27"	"M1"
"76"	"CD44"	"M3"
"77"	"AMY1A"	"M1"
"78"	"VIM"	"M4"
"79"	"AQP12B"	"M1"
"80"	"AMY1C"	"M1"
"81"	"FGL1"	"M3"
"82"	"SLC39A5"	"M1"
"83"	"C7"	"M4"
"84"	"AHNAK"	"M4"
"85"	"EPB41L4B"	"M3"
"86"	"PACSIN2"	"M1"
"87"	"TECPR1"	"Not.Correlated"
"88"	"HLA.B"	"M7"
"89"	"BACE1"	"M1"
"90"	"DEPP1"	"M2"
"91"	"JUN"	"Not.Correlated"
"92"	"MKNK1"	"M2"
"93"	"SERPINB1"	"M3"
"94"	"IL22RA1"	"M1"
"95"	"TC2N"	"M3"
"96"	"SLC43A1"	"M1"
"97"	"IMPA2"	"M1"
"98"	"HSPB1"	"M2"
"99"	"AOX1"	"M3"
"100"	"AQP8"	"M1"
"101"	"CASP9"	"M1"
"102"	"SHC2"	"M3"
"103"	"DPEP1"	"M1"
"104"	"GPT2"	"M1"
"105"	"LAMB1"	"M1"
"106"	"KSR1"	"M2"
"107"	"PLXNA2"	"Not.Correlated"
