"genes"	"modules"
"192"	"PDE5A"	"M2"
"193"	"TGFB3"	"M5"
"194"	"FADS2"	"M1"
"195"	"GATA2"	"M1"
"196"	"KRT19"	"M3"
"197"	"MEGF6"	"M3"
"198"	"SOCS2"	"M1"
"199"	"C3"	"M1"
"200"	"MYBPC1"	"M1"
"201"	"CPLX3"	"M1"
"202"	"SULF1"	"M2"
"203"	"TRPM4"	"M1"
"204"	"HES1"	"M3"
"205"	"OBSCN"	"M1"
"206"	"SELENBP1"	"M4"
"207"	"TRIM29"	"M3"
"208"	"SLC39A6"	"M1"
"209"	"KIAA1217"	"M3"
"210"	"PLA2G2A"	"M1"
"211"	"H2BC21"	"M3"
"212"	"KRT17"	"M3"
"213"	"CAV1"	"M2"
"214"	"TGFB1I1"	"M2"
"215"	"LPAR6"	"M2"
"216"	"IDH1"	"M1"
"217"	"COL14A1"	"M5"
"218"	"OSMR"	"M4"
"219"	"ELF3"	"M3"
"220"	"CDKN1A"	"M4"
"221"	"ANO7"	"M1"
"222"	"ODC1"	"M1"
"223"	"LTBP1"	"M2"
"224"	"TXNRD1"	"M2"
"225"	"TSPAN1"	"M3"
"226"	"EMP1"	"M4"
"227"	"BACE2"	"M1"
"228"	"AOC3"	"M2"
"229"	"DNAJB1"	"M2"
"230"	"FBN1"	"M5"
"231"	"SPDEF"	"M1"
"232"	"CYB561"	"M1"
"233"	"PNPLA7"	"M1"
"234"	"ALCAM"	"M1"
"235"	"RGS1"	"M6"
"236"	"TNFSF10"	"M3"
"237"	"F3"	"M1"
"238"	"NPNT"	"M2"
"239"	"MME"	"M1"
"240"	"COL12A1"	"M2"
"241"	"NLRP1"	"M5"
"242"	"PCP4"	"M2"
"243"	"TACSTD2"	"M3"
"244"	"FXYD6"	"M5"
"245"	"DCXR"	"M1"
"246"	"COL4A6"	"M4"
"247"	"ST6GAL1"	"M3"
"248"	"ARG2"	"M1"
"249"	"CDH1"	"M3"
"250"	"TPD52"	"M1"
"251"	"PLVAP"	"M4"
"252"	"FAM118A"	"M2"
"253"	"HID1"	"M1"
"254"	"ERBB3"	"M3"
"255"	"CFL2"	"M2"
"256"	"EFNA1"	"M3"
