"genes"	"modules"
"1"	"MT.ND4"	"M7"
"2"	"IGFBP5"	"M2"
"3"	"VIM"	"M7"
"4"	"MT.ATP6"	"M7"
"5"	"MT.CO1"	"M7"
"6"	"MT.CYB"	"M7"
"7"	"MT.CO3"	"M7"
"8"	"MT.CO2"	"M7"
"9"	"MT.ND1"	"M7"
"10"	"C7"	"M5"
"11"	"NR4A1"	"M3"
"12"	"MT.ND5"	"M7"
"13"	"GLUL"	"M4"
"14"	"COL1A1"	"M6"
"15"	"ADAMTS1"	"M3"
"16"	"COL1A2"	"M6"
"17"	"MT.ATP8"	"M7"
"18"	"MT.ND3"	"M7"
"19"	"STAR"	"M3"
"20"	"MT.ND4L"	"M7"
"21"	"GREB1"	"M2"
"22"	"TXNIP"	"M7"
"23"	"JUNB"	"M3"
"24"	"OBSL1"	"M2"
"25"	"PEG3"	"M2"
"26"	"TAGLN"	"M1"
"27"	"DDIT4"	"M3"
"28"	"TMSB10"	"M4"
"29"	"HSP90AA1"	"M7"
"30"	"RBP1"	"M2"
"31"	"FN1"	"M1"
"32"	"COL3A1"	"M6"
"33"	"C11orf96"	"M3"
"34"	"JUND"	"M3"
"35"	"ZFAND5"	"M3"
"36"	"RHOB"	"M3"
"37"	"COL16A1"	"M4"
"38"	"PDK4"	"M1"
"39"	"MT.ND6"	"M7"
"40"	"MYH11"	"M1"
"41"	"MMP2"	"M1"
"42"	"DUSP1"	"M3"
"43"	"SPARCL1"	"M1"
"44"	"HSPB6"	"M4"
"45"	"PER1"	"M3"
"46"	"MYL9"	"M1"
"47"	"CFH"	"M2"
"48"	"C3"	"M5"
"49"	"FOSL2"	"M3"
"50"	"AKAP12"	"M3"
"51"	"JUN"	"M3"
"52"	"SLC4A3"	"M2"
"53"	"GSTM2"	"M1"
"54"	"ACTA2"	"M1"
"55"	"CEBPD"	"M3"
"56"	"CLSTN2"	"M2"
"57"	"SLC40A1"	"M2"
"58"	"CSRP1"	"M1"
"59"	"BTG2"	"M3"
"60"	"MARCKSL1"	"M2"
"61"	"TNXB"	"M6"
"62"	"KLHDC8A"	"M2"
"63"	"SGK1"	"M1"
"64"	"FOS"	"M3"
"65"	"SLC7A2"	"M3"
"66"	"PCSK7"	"M1"
"67"	"MAT2A"	"M3"
"68"	"MGP"	"M1"
"69"	"A2M"	"M1"
"70"	"TSC22D3"	"M4"
"71"	"THBS1"	"M1"
"72"	"GPX3"	"M1"
"73"	"LUM"	"M5"
"74"	"HSPB1"	"M7"
