"genes"	"modules"
"75"	"TSC22D1"	"M3"
"76"	"EGR1"	"M3"
"77"	"ZFP36"	"M3"
"78"	"PPP1CB"	"M3"
"79"	"ACSM3"	"M2"
"80"	"IGFBP7"	"M1"
"81"	"HTRA1"	"M4"
"82"	"CDH11"	"M2"
"83"	"MDK"	"M2"
"84"	"FBLN1"	"M1"
"85"	"APOE"	"M1"
"86"	"CITED2"	"M2"
"87"	"MCC"	"M2"
"88"	"CPZ"	"M2"
"89"	"NID1"	"M3"
"90"	"HSPA1B"	"M7"
"91"	"PWWP3B"	"M2"
"92"	"MCL1"	"M3"
"93"	"C4B"	"M5"
"94"	"IGFBP3"	"M6"
"95"	"FKBP5"	"M7"
"96"	"TIMP3"	"M1"
"97"	"HSPA1A"	"M7"
"98"	"ASH2L"	"M3"
"99"	"DEPP1"	"M5"
"100"	"C4A"	"M5"
"101"	"MYLK"	"M1"
"102"	"ADH1B"	"M1"
"103"	"TFRC"	"M3"
"104"	"ARRDC3"	"M4"
"105"	"COL14A1"	"M1"
"106"	"CDKN1A"	"M3"
"107"	"X.278"	"M5"
"108"	"PRRT2"	"M2"
"109"	"CDKN1C"	"M2"
"110"	"CD22"	"M2"
"111"	"GPR78"	"M2"
"112"	"COL4A2"	"M1"
"113"	"XAF1"	"M2"
"114"	"DLK1"	"M3"
"115"	"WFIKKN2"	"M2"
"116"	"KLF2"	"M3"
"117"	"SLC6A6"	"M2"
"118"	"LONRF2"	"M3"
"119"	"SAT1"	"M3"
"120"	"HSPG2"	"M1"
"121"	"PLPP3"	"M1"
"122"	"NFKBIA"	"M3"
"123"	"CMYA5"	"M2"
"124"	"SLC7A8"	"M3"
"125"	"CD74"	"M1"
"126"	"SCN7A"	"M2"
"127"	"H1.0"	"M1"
"128"	"B4GALT1"	"M3"
"129"	"ACTN1"	"M1"
"130"	"F3"	"M3"
"131"	"CLDN11"	"M2"
"132"	"IER2"	"M3"
"133"	"IGSF10"	"M2"
"134"	"LMOD1"	"M1"
"135"	"RESF1"	"M1"
"136"	"LDHA"	"M1"
"137"	"DAPK1"	"M2"
"138"	"ADAMTS4"	"M3"
"139"	"TYRO3"	"M1"
"140"	"DES"	"M1"
"141"	"SCARB1"	"M2"
"142"	"NR4A2"	"M3"
"143"	"KLF9"	"M3"
"144"	"HTRA3"	"M2"
"145"	"NRP2"	"M4"
"146"	"IGF2"	"M6"
"147"	"TNFAIP3"	"M3"
"148"	"GABARAPL1"	"M3"
"149"	"FLRT2"	"M2"
"150"	"ANXA1"	"M2"
"151"	"GATA6"	"M3"
"152"	"IGFBP2"	"M1"
"153"	"GSTM5"	"M2"
"154"	"ID2"	"M5"
"155"	"BHLHE40"	"M3"
"156"	"ADAM33"	"M6"
"157"	"AASS"	"M3"
"158"	"IGFBP6"	"M1"
"159"	"CLIC4"	"M1"
"160"	"CDH23"	"M2"
"161"	"X.253"	"M5"
"162"	"SERPINE2"	"M4"
"163"	"FBLN5"	"M1"
"164"	"SERPINH1"	"M7"
"165"	"PRPS2"	"M3"
"166"	"PAGR1"	"M5"
"167"	"GALNT10"	"M2"
"168"	"SERPINA3"	"M5"
"169"	"ROBO3"	"M2"
"170"	"HOOK2"	"M3"
"171"	"MIDN"	"M3"
"172"	"SFRP4"	"M4"
"173"	"GSTM3"	"M2"
"174"	"FHL1"	"M1"
"175"	"CYB5A"	"M2"
"176"	"LAMB1"	"M5"
"177"	"CTNNAL1"	"M2"
"178"	"ABCA10"	"M2"
"179"	"PIK3R1"	"M7"
"180"	"WIPF3"	"M2"
"181"	"PLIN5"	"M2"
"182"	"FILIP1L"	"M3"
"183"	"EPAS1"	"M1"
"184"	"USP36"	"M3"
"185"	"VMP1"	"M3"
"186"	"ETS2"	"M3"
"187"	"VWF"	"M1"
"188"	"ZNF331"	"M3"
"189"	"GATM"	"M1"
"190"	"ECEL1"	"M3"
"191"	"CD55"	"M4"
"192"	"BGN"	"M1"
"193"	"ABO"	"M2"
"194"	"GATA4"	"M2"
"195"	"IRS1"	"M2"
"196"	"CCN5"	"M1"
"197"	"SMTN"	"M1"
"198"	"SAMHD1"	"M5"
"199"	"RPL9"	"M1"
"200"	"OGN"	"M2"
"201"	"TBX3"	"M3"
"202"	"CRISPLD2"	"M3"
"203"	"SREBF2"	"M4"
"204"	"ABCA6"	"M4"
"205"	"FBXO32"	"M5"
"206"	"CCDC80"	"M1"
"207"	"LAMA5"	"M1"
"208"	"PROK1"	"M2"
"209"	"DNAJB1"	"M7"
"210"	"SCD"	"M4"
"211"	"NRK"	"M2"
"212"	"MYC"	"M3"
"213"	"FOXL2NB"	"M2"
"214"	"STAB1"	"M5"
"215"	"BNIP3"	"M1"
"216"	"CKB"	"M4"
"217"	"PPP1R15A"	"M7"
"218"	"PTP4A1"	"M3"
"219"	"MAMDC2"	"M4"
"220"	"PLA2G2A"	"M5"
"221"	"MCAM"	"M1"
"222"	"LBH"	"M1"
"223"	"IRF2BPL"	"M3"
"224"	"CDON"	"M2"
"225"	"COL4A1"	"M1"
"226"	"CHD1"	"M3"
"227"	"HLF"	"M2"
"228"	"SCUBE1"	"M2"
"229"	"NAMPT"	"M3"
"230"	"SOX4"	"M4"
"231"	"PITPNM3"	"M2"
"232"	"CDH3"	"M4"
"233"	"NR1D1"	"M7"
"234"	"ABTB1"	"M4"
"235"	"PLCXD3"	"M2"
"236"	"MAOA"	"M4"
"237"	"ARX"	"M2"
"238"	"TCF21"	"M2"
"239"	"CCN1"	"M1"
"240"	"BCAM"	"M1"
"241"	"ADIRF"	"M1"
"242"	"FSTL3"	"M3"
"243"	"HIF3A"	"M4"
"244"	"OBSCN"	"M1"
"245"	"MT2A"	"M3"
"246"	"TGM2"	"M1"
"247"	"LDLR"	"M4"
"248"	"PEG10"	"M2"
"249"	"ZNF431"	"M5"
"250"	"ZNF275"	"M2"
"251"	"GSTM1"	"M2"
"252"	"SPEG"	"M1"
"253"	"ADAMTSL4"	"M5"
"254"	"DCHS1"	"M6"
"255"	"NFASC"	"M1"
"256"	"ALDH1L1"	"M2"
"257"	"NFIL3"	"M3"
"258"	"SIK1"	"M3"
"259"	"OSR2"	"M6"
"260"	"RGS2"	"M3"
"261"	"IRS2"	"M2"
"262"	"C1QTNF1"	"M1"
"263"	"KLF15"	"M2"
"264"	"ATP1B3"	"M3"
"265"	"NPR1"	"M1"
"266"	"ITGA5"	"M1"
"267"	"ANGPTL1"	"M1"
"268"	"EML5"	"M2"
"269"	"JUP"	"M6"
"270"	"PNPLA7"	"M2"
"271"	"SLIT3"	"M1"
"272"	"C9orf72"	"M3"
"273"	"ATP1B1"	"M2"
"274"	"PIM1"	"M5"
"275"	"B4GALNT4"	"M2"
"276"	"CSRNP1"	"M3"
"277"	"TUSC3"	"M2"
"278"	"JAG1"	"M1"
"279"	"PTPRD"	"M2"
"280"	"KLF4"	"M3"
"281"	"SIGLEC11"	"M2"
"282"	"TENM4"	"M2"
"283"	"PGR"	"M4"
"284"	"MOB3B"	"M2"
"285"	"GPNMB"	"M1"
"286"	"WT1"	"M4"
"287"	"HS3ST1"	"M2"
"288"	"TSPAN5"	"M2"
"289"	"RNASE1"	"M5"
"290"	"COL15A1"	"M1"
"291"	"FOXL2"	"M2"
"292"	"LDLRAD2"	"M1"
"293"	"CASP9"	"M3"
"294"	"TGFBR2"	"M1"
"295"	"ATP8A1"	"M2"
"296"	"APCDD1"	"M6"
"297"	"NR5A1"	"M2"
"298"	"OSMR"	"M5"
"299"	"SERPINE1"	"M3"
"300"	"APOD"	"M2"
"301"	"PLIN4"	"M4"
"302"	"TTC8"	"M2"
"303"	"GAS1"	"M5"
"304"	"GADD45B"	"M3"
"305"	"ENTREP1"	"M2"
"306"	"NID2"	"M4"
"307"	"ELN"	"M1"
"308"	"HMOX1"	"M4"
"309"	"SEMA3C"	"M4"
"310"	"PLEKHG4"	"M2"
"311"	"IL1R1"	"M6"
"312"	"JMY"	"M3"
"313"	"LEPR"	"M4"
"314"	"CCN2"	"M1"
"315"	"UAP1"	"M3"
"316"	"CPE"	"M1"
"317"	"FADS1"	"M4"
"318"	"RHOU"	"M3"
"319"	"ID3"	"M1"
"320"	"PROS1"	"M5"
"321"	"HSPH1"	"M7"
"322"	"PRKAR2B"	"M2"
"323"	"SPON1"	"M6"
"324"	"ITPRIP"	"M3"
"325"	"SLC39A14"	"M5"
"326"	"DHCR7"	"M3"
"327"	"NCALD"	"M3"
"328"	"DKK3"	"M6"
"329"	"TSHZ2"	"M1"
"330"	"TCEA3"	"M2"
"331"	"NOTCH3"	"M1"
"332"	"PLA2G5"	"M2"
"333"	"SIMC1"	"M2"
"334"	"SUSD4"	"M2"
"335"	"IRAG1"	"M1"
"336"	"RGS5"	"M1"
"337"	"LHFPL6"	"M1"
"338"	"PDLIM3"	"M1"
"339"	"TUBB4B"	"M7"
"340"	"FBLIM1"	"M5"
"341"	"CD34"	"M1"
"342"	"GJA1"	"M6"
"343"	"BAMBI"	"M2"
"344"	"BICD1"	"M2"
"345"	"MYRF"	"M3"
"346"	"VEGFA"	"M2"
"347"	"CXCL12"	"M1"
"348"	"PTCH2"	"M2"
"349"	"NINL"	"M2"
"350"	"MEGF6"	"M1"
"351"	"LAMA4"	"M1"
"352"	"TIPARP"	"M3"
"353"	"TSKU"	"M3"
"354"	"ADAMTS5"	"M2"
"355"	"CRYAB"	"M2"
"356"	"SFRP1"	"M1"
"357"	"CCBE1"	"M2"
"358"	"RASL11B"	"M2"
"359"	"EDNRA"	"M4"
"360"	"NTN4"	"M4"
"361"	"AXL"	"M3"
"362"	"RHOBTB2"	"M3"
"363"	"CNTN1"	"M2"
"364"	"CEP295NL"	"M4"
"365"	"LRRC17"	"M2"
"366"	"ITGA7"	"M1"
"367"	"PLXDC1"	"M1"
"368"	"MICAL1"	"M1"
"369"	"DOCK10"	"M2"
"370"	"SLC2A3"	"M3"
"371"	"INHA"	"M2"
"372"	"GALNT17"	"M2"
"373"	"LTBP1"	"M1"
"374"	"SERINC5"	"M4"
"375"	"ERN1"	"M3"
"376"	"PGAP1"	"M3"
"377"	"PLXND1"	"M1"
"378"	"ID4"	"M1"
"379"	"DHCR24"	"M4"
"380"	"GRK5"	"M1"
"381"	"FLNC"	"M1"
"382"	"CFI"	"M6"
"383"	"P4HA1"	"M7"
"384"	"RASGRF2"	"M4"
"385"	"RFTN1"	"M6"
"386"	"SOD3"	"M1"
"387"	"PARM1"	"M1"
"388"	"KLF13"	"M7"
"389"	"ELL2"	"M3"
"390"	"FGFR4"	"M2"
"391"	"NFKBIZ"	"M3"
"392"	"UBXN8"	"M2"
"393"	"ADHFE1"	"M3"
"394"	"AMOTL2"	"M1"
"395"	"NR4A3"	"M3"
"396"	"ZDBF2"	"M3"
"397"	"VCAM1"	"M2"
"398"	"FOSB"	"M3"
"399"	"NDE1"	"M1"
"400"	"GLI2"	"M2"
"401"	"TINAGL1"	"M1"
"402"	"MAFF"	"M3"
"403"	"NEURL1B"	"M1"
"404"	"TM4SF1"	"M1"
"405"	"AMIGO2"	"M3"
"406"	"MRGPRF"	"M1"
"407"	"TM7SF2"	"M2"
"408"	"PRRT1"	"M1"
"409"	"MAP1B"	"M1"
"410"	"CCND2"	"M6"
"411"	"WHRN"	"M1"
"412"	"DENND3"	"M1"
"413"	"CHST7"	"M2"
"414"	"PHLDA1"	"M3"
"415"	"CRIP2"	"M1"
"416"	"IQCG"	"M3"
"417"	"KRT19"	"M1"
"418"	"CHL1"	"M6"
"419"	"DMKN"	"M1"
"420"	"SEMA6A"	"M3"
"421"	"SNCAIP"	"M2"
"422"	"SLC22A3"	"M1"
"423"	"SESN2"	"M3"
"424"	"CSGALNACT1"	"M1"
"425"	"CHSY1"	"M3"
"426"	"CCNH"	"M3"
"427"	"PAPLN"	"M3"
"428"	"HK2"	"M3"
"429"	"ABCA1"	"M4"
"430"	"HAND2"	"M1"
"431"	"SOCS3"	"M3"
"432"	"KIT"	"M2"
"433"	"PLIN2"	"M1"
"434"	"BCOR"	"M3"
"435"	"COL4A6"	"M4"
"436"	"COL7A1"	"M1"
"437"	"ADGRD1"	"M4"
"438"	"FGF7"	"M1"
"439"	"DIRAS3"	"M2"
"440"	"ENC1"	"M4"
"441"	"CD163"	"M5"
"442"	"SNRK"	"M3"
"443"	"FAM118A"	"M7"
"444"	"TOB1"	"M3"
"445"	"PTP4A3"	"M1"
"446"	"SHC2"	"M6"
"447"	"AVPI1"	"M3"
"448"	"CYCS"	"M3"
"449"	"FZD7"	"M6"
"450"	"CAB39L"	"M3"
"451"	"H2BC21"	"M7"
"452"	"GADD45G"	"M4"
"453"	"C12orf60"	"M1"
"454"	"HMGCS1"	"M4"
"455"	"PPP1R14A"	"M1"
"456"	"RPS28"	"M1"
"457"	"DHRS3"	"M2"
"458"	"SLC16A9"	"M2"
"459"	"GALNT15"	"M5"
"460"	"CBS"	"M2"
"461"	"EPB41L3"	"M1"
"462"	"ENPP1"	"M2"
"463"	"SORBS1"	"M1"
"464"	"ASPG"	"M2"
"465"	"NSG1"	"M1"
"466"	"UNC13D"	"M5"
"467"	"RARRES1"	"M5"
"468"	"CPXM1"	"M6"
"469"	"ZNF10"	"M3"
"470"	"CD248"	"M1"
"471"	"CNN1"	"M1"
"472"	"GNG4"	"M4"
"473"	"MAG"	"M2"
"474"	"SIGLEC16"	"M2"
"475"	"DTX4"	"M2"
"476"	"PGGHG"	"M1"
"477"	"NLGN4X"	"M2"
"478"	"SLC19A2"	"M3"
"479"	"LIMCH1"	"M4"
"480"	"RNF122"	"M3"
"481"	"RERG"	"M1"
"482"	"TMTC1"	"M1"
"483"	"ATP1B2"	"M2"
"484"	"NREP"	"M4"
"485"	"TCF23"	"M6"
"486"	"CDC42EP3"	"M1"
"487"	"RRAS"	"M1"
"488"	"CLCN5"	"M2"
"489"	"FNDC4"	"M2"
"490"	"MSRB3"	"M1"
"491"	"JCAD"	"M6"
"492"	"ITGA1"	"M1"
"493"	"PALM2AKAP2"	"M1"
"494"	"HSPB7"	"M1"
"495"	"F8"	"M4"
"496"	"MAP3K6"	"M1"
"497"	"MN1"	"M3"
"498"	"BCAT1"	"M2"
"499"	"BCL3"	"M3"
"500"	"IGDCC4"	"M2"
"501"	"REL"	"M3"
"502"	"PGM5"	"M1"
"503"	"FRRS1L"	"M2"
"504"	"OLFML2A"	"M2"
"505"	"HLA.DRA"	"M1"
"506"	"DLC1"	"M1"
"507"	"ADAMTS9"	"M1"
"508"	"HLA.DRB1"	"M1"
"509"	"ARHGEF4"	"M1"
"510"	"CELF6"	"M2"
"511"	"CAPN5"	"M1"
"512"	"EMP1"	"M1"
"513"	"ZBTB16"	"M1"
"514"	"MTSS1"	"M1"
"515"	"CD9"	"M1"
"516"	"ADRA2A"	"M1"
"517"	"IDI1"	"M4"
"518"	"CREM"	"M3"
"519"	"KNDC1"	"M2"
"520"	"AQP1"	"M1"
"521"	"ALKAL2"	"M4"
"522"	"TNFAIP2"	"M1"
"523"	"VGLL3"	"M1"
"524"	"DDX11"	"M1"
"525"	"BASP1"	"M1"
"526"	"C4BPB"	"M2"
"527"	"MICAL2"	"M1"
"528"	"CYP11A1"	"M2"
"529"	"PLXNC1"	"M1"
"530"	"SYNM"	"M1"
"531"	"TBX2"	"M1"
"532"	"KCNT2"	"M2"
"533"	"NOTCH1"	"M1"
"534"	"ANKRD37"	"M3"
"535"	"FADS2"	"M4"
"536"	"TMEM132A"	"M4"
"537"	"TRABD2A"	"M4"
"538"	"NES"	"M1"
"539"	"ZNF436"	"M4"
"540"	"EGFL7"	"M1"
"541"	"TCIM"	"M7"
"542"	"GRAMD1B"	"M2"
"543"	"SPRY1"	"M1"
"544"	"GADD45A"	"M1"
"545"	"MVD"	"M4"
"546"	"PDK1"	"M3"
"547"	"KLF10"	"M3"
"548"	"HSD11B1"	"M2"
"549"	"UCHL1"	"M1"
"550"	"SERPINA5"	"M4"
"551"	"TNFSF10"	"M6"
"552"	"SDC4"	"M2"
"553"	"RCAN2"	"M1"
"554"	"ITIH5"	"M2"
"555"	"INSIG1"	"M4"
"556"	"IER5L"	"M3"
"557"	"FAM20A"	"M1"
"558"	"EGFLAM"	"M2"
"559"	"PIK3IP1"	"M4"
"560"	"FGFR2"	"M1"
"561"	"ENO2"	"M2"
"562"	"SPON2"	"M1"
"563"	"CSPG4"	"M1"
"564"	"PRMT9"	"M3"
"565"	"MED12L"	"M2"
"566"	"AHR"	"M1"
"567"	"CFD"	"M1"
"568"	"SPDYA"	"M3"
"569"	"NNMT"	"M5"
"570"	"SEMA4G"	"M2"
"571"	"MT1X"	"M1"
"572"	"FDXR"	"M1"
"573"	"TLR5"	"M2"
"574"	"ATP1A2"	"M6"
"575"	"GABRE"	"M6"
"576"	"P3H2"	"M6"
"577"	"ARNT2"	"M4"
"578"	"VIT"	"M4"
"579"	"ACSL1"	"M2"
"580"	"SORBS2"	"M1"
"581"	"NKD1"	"M1"
"582"	"EMILIN3"	"M1"
"583"	"LAG3"	"M2"
"584"	"X.180"	"M2"
"585"	"SHANK3"	"M1"
"586"	"ARID5A"	"M1"
"587"	"TP53INP2"	"M3"
"588"	"SULF1"	"M1"
"589"	"IFI6"	"M3"
"590"	"PKP2"	"M1"
"591"	"WNT4"	"M1"
"592"	"VWCE"	"M2"
"593"	"MROH7"	"M2"
"594"	"NTRK2"	"M1"
"595"	"HSD17B14"	"M2"
"596"	"IQCN"	"M2"
"597"	"ALDH1A2"	"M6"
"598"	"TMEM100"	"M1"
"599"	"STK38L"	"M1"
"600"	"RIPOR3"	"M2"
"601"	"KRT10"	"M2"
"602"	"CCDC68"	"M2"
"603"	"ATOH8"	"M1"
"604"	"B3GNT7"	"M4"
"605"	"EBF1"	"M1"
"606"	"TFPI2"	"M2"
"607"	"DSG2"	"M2"
"608"	"ADAMTS2"	"M1"
"609"	"STXBP5L"	"M2"
"610"	"SH2D4A"	"M1"
"611"	"WNT5A"	"M4"
"612"	"HOXC6"	"M2"
"613"	"TP53I11"	"M1"
"614"	"CTSC"	"M1"
"615"	"PFKP"	"M1"
"616"	"LDHD"	"M2"
"617"	"PLXNA4"	"M5"
"618"	"SLC1A3"	"M1"
"619"	"PLPP1"	"M1"
"620"	"FN3K"	"M3"
"621"	"NDNF"	"M2"
"622"	"WNT9A"	"M2"
"623"	"SLC6A8"	"M1"
"624"	"KCNK6"	"M3"
"625"	"HMGCR"	"M4"
"626"	"PHLDB2"	"M1"
"627"	"PLAT"	"M1"
"628"	"THNSL2"	"M1"
"629"	"MSMO1"	"M4"
"630"	"EPB41L4B"	"M2"
"631"	"MMP23B"	"M2"
"632"	"PPM1H"	"M1"
"633"	"ERAP2"	"M4"
"634"	"SGCD"	"M4"
"635"	"IZUMO4"	"M2"
"636"	"HBB"	"M7"
"637"	"PSD"	"M4"
"638"	"SDC3"	"M1"
"639"	"ARG2"	"M3"
"640"	"GRIP2"	"M2"
"641"	"ATF3"	"M3"
"642"	"RASD1"	"M3"
"643"	"MOCOS"	"M2"
"644"	"LOXL2"	"M4"
"645"	"PTPRB"	"M1"
"646"	"IL16"	"M1"
"647"	"BOK"	"M3"
"648"	"NEXN"	"M1"
"649"	"VPS37B"	"M3"
"650"	"ARPC1B"	"M5"
"651"	"NOTCH4"	"M1"
"652"	"GCLC"	"M3"
"653"	"VWC2"	"M2"
"654"	"LXN"	"M6"
"655"	"SASH1"	"M1"
"656"	"LEFTY2"	"M2"
"657"	"ACADL"	"M1"
"658"	"PECAM1"	"M1"
"659"	"RYR2"	"M6"
"660"	"GPAT3"	"M3"
"661"	"LIMS2"	"M1"
"662"	"RGS22"	"M2"
"663"	"MAGED4"	"M4"
"664"	"PON3"	"M2"
"665"	"DCLK1"	"M4"
"666"	"COLEC11"	"M2"
"667"	"TGFBI"	"M1"
"668"	"DACT3"	"M1"
"669"	"TWIST2"	"M3"
"670"	"EPHB3"	"M1"
"671"	"ZIM2"	"M2"
"672"	"MMP17"	"M2"
"673"	"COL8A1"	"M6"
"674"	"SNAI2"	"M3"
"675"	"HLA.DPA1"	"M1"
"676"	"X.162"	"Not.Correlated"
"677"	"AMOTL1"	"M1"
"678"	"CLDN5"	"M1"
"679"	"DOC2A"	"M1"
"680"	"GLB1L2"	"M2"
"681"	"MAGED4B"	"M4"
"682"	"TMEM200A"	"M4"
"683"	"ARRDC2"	"M1"
"684"	"FRY"	"M1"
"685"	"SPRR2F"	"M4"
"686"	"KCNMA1"	"M1"
"687"	"DPF3"	"M2"
"688"	"ATRNL1"	"M4"
"689"	"JPH4"	"M6"
"690"	"SLCO2B1"	"M1"
"691"	"LRRC32"	"M1"
"692"	"GGT5"	"M1"
"693"	"SYS1.DBNDD2"	"M1"
"694"	"SERHL2"	"M2"
"695"	"AMHR2"	"M2"
"696"	"ACTG2"	"M1"
"697"	"FAM153A"	"M1"
"698"	"MAP1A"	"M7"
"699"	"HS6ST2"	"M2"
"700"	"SAP25"	"M1"
"701"	"TMEM198"	"M3"
"702"	"CTPS1"	"M4"
"703"	"EPN3"	"M1"
"704"	"BEX2"	"M2"
"705"	"MTHFD2"	"M1"
"706"	"MAMDC4"	"M1"
"707"	"EEIG2"	"M5"
"708"	"SRGN"	"M5"
"709"	"PDLIM1"	"M1"
"710"	"KIAA1755"	"M6"
"711"	"NEFH"	"M2"
"712"	"SNCG"	"M1"
"713"	"LRRC37A2"	"M7"
"714"	"FCGBP"	"M5"
"715"	"PPL"	"M2"
"716"	"LYVE1"	"M5"
"717"	"SLC9A7"	"M1"
"718"	"MST1"	"M4"
"719"	"CD44"	"M2"
"720"	"CYB5R2"	"M1"
"721"	"KALRN"	"M1"
"722"	"KCNT1"	"M1"
"723"	"COL5A3"	"M1"
"724"	"AOC3"	"M1"
"725"	"P2RX7"	"M1"
"726"	"X.31"	"M1"
"727"	"MLPH"	"M1"
"728"	"SCARA3"	"M1"
"729"	"ADAM12"	"M2"
"730"	"ID1"	"M1"
"731"	"PNMA8A"	"M2"
"732"	"ING2"	"M2"
"733"	"DBNDD2"	"M1"
"734"	"FIBIN"	"M1"
"735"	"CLMN"	"M1"
"736"	"HSPB8"	"M2"
"737"	"HES1"	"M3"
"738"	"FAM222A"	"M2"
"739"	"CTH"	"M3"
"740"	"MAPK8IP2"	"M2"
"741"	"NCS1"	"M1"
"742"	"TSPAN8"	"M4"
"743"	"ADGRF5"	"M1"
"744"	"ADGRE5"	"M1"
"745"	"CHN2"	"M2"
"746"	"RASSF2"	"M1"
"747"	"SORCS2"	"M2"
"748"	"CPXM2"	"M1"
"749"	"SLC2A1"	"M2"
"750"	"ADAMTS16"	"M2"
"751"	"GEM"	"M3"
"752"	"SLC4A8"	"M2"
"753"	"TMEM255A"	"M1"
"754"	"ENPP2"	"M1"
"755"	"NAV1"	"M1"
"756"	"GPC3"	"M1"
"757"	"EPHB2"	"M2"
"758"	"H1.2"	"M7"
"759"	"MTHFD1L"	"M4"
"760"	"CDH4"	"M2"
"761"	"OLFM1"	"M5"
"762"	"MYOCD"	"M1"
"763"	"OSBPL3"	"M1"
"764"	"TSTD1"	"M1"
"765"	"KLHL15"	"M3"
"766"	"PPP1R9A"	"M2"
"767"	"CHST11"	"M5"
"768"	"PDE2A"	"M1"
"769"	"PI15"	"M4"
"770"	"FLT4"	"M1"
"771"	"PTGDS"	"M2"
"772"	"DIO3"	"M3"
"773"	"RUNX1"	"M6"
"774"	"TSPAN7"	"M1"
"775"	"NAV2"	"M1"
"776"	"CAMK1G"	"M2"
"777"	"TMEM132C"	"M3"
"778"	"WNK3"	"M2"
"779"	"IGSF11"	"M2"
"780"	"HBA2"	"M7"
"781"	"CD93"	"M1"
"782"	"RGN"	"M1"
"783"	"IFI44L"	"M3"
"784"	"C1QB"	"M5"
"785"	"IL4R"	"M1"
"786"	"OMD"	"M7"
"787"	"INMT.MINDY4"	"M5"
"788"	"GREB1L"	"M2"
"789"	"FOXP2"	"M1"
"790"	"STK33"	"M2"
"791"	"C1QC"	"M5"
"792"	"ADCY4"	"M1"
"793"	"RAMP1"	"M1"
"794"	"PROX1"	"M2"
"795"	"PLEKHA6"	"M1"
"796"	"SNAP25"	"M3"
"797"	"HLA.DPB1"	"M1"
"798"	"SULT1C4"	"M2"
"799"	"ZNF540"	"M1"
"800"	"ZNF714"	"M2"
"801"	"YPEL4"	"M4"
"802"	"YJEFN3"	"M7"
"803"	"PERP"	"M2"
"804"	"KDR"	"M1"
"805"	"PALD1"	"M1"
"806"	"KIF26A"	"M2"
"807"	"ALS2CL"	"M2"
"808"	"CD83"	"M1"
"809"	"ARHGDIB"	"M1"
"810"	"GNB3"	"M1"
"811"	"TUBA4A"	"M3"
"812"	"PPP1R13L"	"M2"
"813"	"CACNA1G"	"M2"
"814"	"HEYL"	"M1"
"815"	"HILPDA"	"M5"
"816"	"CCDC183"	"M2"
"817"	"SHROOM2"	"M2"
"818"	"X.189"	"M1"
"819"	"CCDC71L"	"M1"
"820"	"MLLT11"	"M3"
"821"	"FAM107A"	"M1"
"822"	"LRP2BP"	"M2"
"823"	"TRHDE"	"M3"
"824"	"METRNL"	"M1"
"825"	"CES1"	"M4"
"826"	"SUSD3"	"M2"
"827"	"GFRA1"	"M1"
"828"	"SOCS2"	"M1"
"829"	"CFHR1"	"M2"
"830"	"SLC18A2"	"M1"
