"genes"	"modules"
"131"	"PLN"	"M1"
"132"	"GPD1"	"M1"
"133"	"GOT1"	"M1"
"134"	"CD36"	"M1"
"135"	"PHC2"	"M2"
"136"	"MIDN"	"M2"
"137"	"STIMATE.MUSTN1"	"M4"
"138"	"X.30"	"M4"
"139"	"ARID5B"	"M3"
"140"	"C10orf71"	"M4"
"141"	"MDH1"	"M1"
"142"	"SLC38A1"	"M3"
"143"	"ABLIM1"	"M1"
"144"	"MYL6B"	"M6"
"145"	"RGMA"	"M3"
"146"	"SLC19A2"	"M2"
"147"	"MUSTN1"	"M4"
"148"	"ANK1"	"M1"
"149"	"ETS2"	"M8"
"150"	"CSRP3"	"M1"
"151"	"ZFP36"	"M8"
"152"	"HSPA1A"	"Not.Correlated"
"153"	"DUSP26"	"M4"
"154"	"FOXO3"	"M3"
"155"	"FOXO1"	"M3"
"156"	"LDHB"	"M6"
"157"	"PPDPFL"	"M4"
"158"	"IL6R"	"M1"
"159"	"BTG2"	"M8"
"160"	"CDKN1A"	"M1"
"161"	"TNKS1BP1"	"M2"
"162"	"H1.0"	"Not.Correlated"
"163"	"MYF6"	"M6"
"164"	"ACADM"	"M1"
"165"	"LMCD1"	"M1"
"166"	"HDAC4"	"M3"
"167"	"DDIT4L"	"M2"
"168"	"SLC7A6OS"	"M1"
"169"	"PMP22"	"M2"
"170"	"RETREG1"	"M1"
"171"	"KLF6"	"M2"
"172"	"HABP2"	"M4"
"173"	"DDIT4"	"M3"
"174"	"HSPA1B"	"Not.Correlated"
"175"	"DGKD"	"M3"
"176"	"LRRC20"	"M1"
"177"	"CASQ2"	"M1"
"178"	"PIK3R1"	"M3"
"179"	"ERRFI1"	"M3"
"180"	"PPP1R3C"	"M3"
"181"	"SMPX"	"M1"
"182"	"ATP1A1"	"M2"
"183"	"ART3"	"M4"
"184"	"AKAP6"	"M1"
"185"	"ACTN3"	"M1"
"186"	"SMTNL1"	"M4"
"187"	"NEDD4"	"M5"
"188"	"PTPN3"	"M4"
"189"	"PLIN5"	"M6"
"190"	"CACNG1"	"M4"
"191"	"SHISA4"	"M1"
"192"	"ANKRD1"	"M2"
"193"	"MN1"	"M6"
"194"	"PHKG1"	"M1"
"195"	"FEM1B"	"M3"
"196"	"ACTC1"	"M7"
"197"	"DNAJB5"	"M6"
"198"	"APOBEC2"	"M4"
"199"	"RNF157"	"M5"
"200"	"NAMPT"	"M2"
"201"	"NMRK2"	"M1"
"202"	"ZBTB38"	"M2"
"203"	"TBC1D8"	"M3"
"204"	"C1orf198"	"M3"
"205"	"NES"	"M1"
"206"	"JPH2"	"M1"
"207"	"IGF2"	"M5"
"208"	"PPP1R3B"	"M1"
"209"	"CD55"	"M2"
"210"	"FN1"	"M5"
"211"	"ARPP21"	"M2"
"212"	"TAGLN"	"M5"
"213"	"IGFBP4"	"M8"
"214"	"NEURL1"	"M4"
"215"	"IDI2"	"M6"
"216"	"SLC16A3"	"M3"
"217"	"MYORG"	"M6"
"218"	"CSPG4"	"M2"
"219"	"MYH11"	"M5"
"220"	"CEBPD"	"M2"
"221"	"LTBP4"	"M5"
"222"	"DEPP1"	"M8"
"223"	"TUBA8"	"M6"
"224"	"SIK2"	"M2"
"225"	"MIOS"	"M3"
"226"	"FAM53B"	"M3"
"227"	"MYH4"	"M1"
"228"	"DPYSL3"	"M1"
"229"	"DTNA"	"M1"
"230"	"FBXO40"	"M1"
"231"	"TSPYL2"	"M1"
"232"	"LRRC39"	"M1"
"233"	"TGM2"	"M2"
"234"	"LPL"	"M1"
"235"	"ADH1B"	"M1"
"236"	"CAMK2A"	"M1"
"237"	"SH3BP5"	"M2"
"238"	"DAAM2"	"M3"
"239"	"JUNB"	"M8"
"240"	"KANK1"	"M3"
"241"	"FNDC5"	"M6"
"242"	"CNTFR"	"M3"
"243"	"ABRA"	"M6"
"244"	"SRPK3"	"M1"
"245"	"BCL9L"	"M4"
"246"	"CMBL"	"M4"
"247"	"PLCD4"	"M4"
"248"	"GADD45A"	"M2"
"249"	"NIBAN1"	"M4"
"250"	"PPP1R3A"	"M4"
"251"	"GSTM2"	"M1"
"252"	"KLF13"	"M6"
"253"	"ALPK2"	"M4"
"254"	"OSBPL11"	"M3"
"255"	"SLC20A2"	"M4"
"256"	"PFKFB2"	"M1"
"257"	"ADAMTSL4"	"M5"
"258"	"CLCN4"	"M5"
"259"	"SLC22A5"	"M3"
"260"	"ARHGEF6"	"M1"
"261"	"NNMT"	"M1"
"262"	"SLC25A25"	"M1"
"263"	"UBE2QL1"	"M5"
"264"	"SCHIP1"	"M4"
"265"	"FBP2"	"M1"
"266"	"FASN"	"M1"
"267"	"RASD1"	"M3"
"268"	"AMPD3"	"M1"
"269"	"ACTA2"	"M5"
"270"	"FZD4"	"M4"
"271"	"C3"	"M7"
"272"	"ABHD2"	"M4"
"273"	"SLC6A6"	"M4"
"274"	"KCNJ12"	"M6"
"275"	"CFD"	"M5"
"276"	"SBNO2"	"M2"
"277"	"CAVIN4"	"M4"
"278"	"MCAM"	"M5"
"279"	"SLC43A2"	"M2"
"280"	"DNAJA4"	"M1"
"281"	"RCAN2"	"M4"
"282"	"QSOX1"	"M3"
"283"	"C1R"	"M7"
"284"	"CHRNA1"	"M1"
"285"	"GPT2"	"M1"
"286"	"MGST3"	"M1"
"287"	"KLF15"	"M3"
"288"	"RHOBTB1"	"M2"
"289"	"CHRND"	"M1"
"290"	"MAOB"	"M1"
"291"	"MYL9"	"M5"
"292"	"C4orf54"	"M4"
"293"	"SGCD"	"M4"
"294"	"HSPA2"	"M1"
"295"	"LMOD1"	"M1"
"296"	"ACSL4"	"M1"
"297"	"RETSAT"	"M3"
"298"	"ITIH4"	"M4"
"299"	"PRKCQ"	"M4"
"300"	"THBS4"	"M5"
"301"	"TMEM70"	"M6"
"302"	"OSBPL6"	"M1"
"303"	"TMEM233"	"M5"
"304"	"SLC16A10"	"M1"
"305"	"PPP2R3A"	"M1"
"306"	"TMEM52"	"M1"
"307"	"HBB"	"Not.Correlated"
"308"	"FITM1"	"M1"
"309"	"SLC22A3"	"M2"
"310"	"UBALD2"	"M1"
"311"	"ARRDC3"	"M2"
"312"	"S100A6"	"M5"
"313"	"NFIL3"	"M2"
"314"	"RAB5IF"	"M5"
"315"	"RAMP1"	"M1"
"316"	"MMP2"	"M7"
"317"	"TRIM7"	"M1"
"318"	"POR"	"M3"
"319"	"PPARGC1A"	"M6"
"320"	"SLC7A8"	"M3"
"321"	"ZBTB7B"	"M3"
"322"	"DNAAF9"	"Not.Correlated"
"323"	"MLXIPL"	"M6"
"324"	"TOB1"	"M2"
"325"	"XPO4"	"M1"
"326"	"MSS51"	"M2"
"327"	"MGP"	"M5"
"328"	"AKR1C2"	"M1"
"329"	"ANGPTL2"	"M3"
"330"	"CKB"	"M6"
"331"	"ATOH8"	"M3"
"332"	"FILIP1L"	"M2"
"333"	"IRS2"	"M3"
"334"	"ECHDC3"	"M3"
"335"	"PRELP"	"M7"
"336"	"SIX1"	"M2"
"337"	"SLFN5"	"M1"
"338"	"FBLN2"	"M5"
"339"	"KLHL38"	"M7"
"340"	"EEF2K"	"M6"
"341"	"POPDC2"	"M1"
"342"	"TP53INP2"	"M1"
"343"	"BZW1"	"M2"
"344"	"KIAA1671"	"M4"
"345"	"BEST3"	"Not.Correlated"
"346"	"EGF"	"M1"
"347"	"ELL2"	"M2"
"348"	"FSTL1"	"M7"
"349"	"SLC40A1"	"M2"
"350"	"PLEKHF1"	"M8"
"351"	"LAMB1"	"M4"
"352"	"GGT7"	"M3"
"353"	"MYOZ3"	"M1"
"354"	"LDHD"	"M1"
"355"	"CCN1"	"M7"
"356"	"PAIP2B"	"M1"
"357"	"HK2"	"M3"
"358"	"COL1A2"	"M5"
"359"	"AMOT"	"M1"
"360"	"RYR3"	"M1"
"361"	"SLC36A2"	"M4"
"362"	"PEBP4"	"M1"
"363"	"ACSS1"	"M1"
"364"	"THNSL2"	"M5"
"365"	"MYH7B"	"M1"
"366"	"COL4A3"	"M4"
"367"	"HBA2"	"Not.Correlated"
"368"	"SSPN"	"M1"
"369"	"FABP4"	"M7"
"370"	"VLDLR"	"M6"
"371"	"CSRP1"	"M5"
"372"	"CARNS1"	"M1"
"373"	"COQ10A"	"M1"
"374"	"ATP8A1"	"M4"
"375"	"ENTREP1"	"M4"
"376"	"VGLL2"	"M1"
"377"	"MYH3"	"M1"
"378"	"KLHL31"	"M3"
"379"	"TFRC"	"M1"
"380"	"ALDH1A1"	"M1"
"381"	"ACHE"	"M1"
"382"	"RHOU"	"M2"
"383"	"NUPR1"	"M1"
"384"	"NR4A3"	"M6"
"385"	"FAM166B"	"M6"
"386"	"MAFF"	"M2"
"387"	"AEBP1"	"M7"
"388"	"SH3RF2"	"M5"
"389"	"CITED2"	"M1"
"390"	"USP6"	"M4"
"391"	"PFKP"	"M4"
"392"	"GADD45G"	"M3"
"393"	"NOS1"	"M6"
"394"	"GRIP2"	"M1"
"395"	"TP63"	"M4"
"396"	"MTLN"	"M1"
"397"	"TNXB"	"M5"
"398"	"ABCA1"	"M3"
"399"	"IER5"	"M2"
"400"	"CXCL14"	"M5"
"401"	"FOS"	"M8"
"402"	"WNT9A"	"M1"
"403"	"FSD2"	"M4"
"404"	"EGR1"	"M8"
"405"	"SAMHD1"	"M3"
"406"	"CAV3"	"M1"
"407"	"TMEM182"	"M1"
"408"	"XBP1"	"M2"
"409"	"MYOG"	"M4"
"410"	"CHST3"	"M2"
"411"	"TMPO"	"Not.Correlated"
"412"	"COL3A1"	"M5"
"413"	"AKR1C1"	"M1"
"414"	"HSPB3"	"M4"
"415"	"TGFB3"	"Not.Correlated"
"416"	"C11orf96"	"M8"
"417"	"HMCN2"	"M1"
"418"	"ACSF2"	"M3"
"419"	"HBA1"	"Not.Correlated"
"420"	"MTHFD2"	"M2"
"421"	"CXCL12"	"M5"
"422"	"MICAL2"	"M2"
"423"	"RNF144B"	"M2"
"424"	"BHLHE41"	"M3"
"425"	"WIPF3"	"M1"
"426"	"NRP1"	"M5"
"427"	"KCNQ5"	"M4"
"428"	"IL32"	"M1"
"429"	"CDH13"	"M1"
"430"	"DENND2C"	"M3"
"431"	"RCSD1"	"M1"
"432"	"KCNA7"	"M1"
"433"	"FHOD3"	"M4"
"434"	"ZNF853"	"M1"
"435"	"EIF4EBP1"	"M1"
"436"	"CFAP61"	"M5"
"437"	"SLC7A5"	"M8"
"438"	"SGCG"	"M4"
"439"	"GPT"	"M1"
"440"	"ASB16"	"M4"
"441"	"CFH"	"M7"
"442"	"ALDH5A1"	"M1"
"443"	"KCNT1"	"M6"
"444"	"ASB11"	"M4"
"445"	"ARID5A"	"M8"
"446"	"AGT"	"M6"
"447"	"ABCA8"	"M5"
"448"	"COL1A1"	"M5"
"449"	"SLC25A30"	"M6"
"450"	"GALNT15"	"M1"
"451"	"PITX2"	"M4"
"452"	"DOK7"	"M6"
"453"	"PPP1R14C"	"M1"
"454"	"SIK1"	"M8"
"455"	"P2RY2"	"M6"
"456"	"GPCPD1"	"M2"
"457"	"SLC47A1"	"M7"
"458"	"IGFBP3"	"M3"
"459"	"SLC2A3"	"M8"
"460"	"X.226"	"M1"
"461"	"RELT"	"M3"
"462"	"FBLN1"	"M7"
"463"	"SLC2A5"	"M1"
"464"	"CCDC28B"	"M1"
"465"	"GPAT3"	"M4"
"466"	"ATXN7L2"	"M1"
"467"	"COL12A1"	"M7"
"468"	"KBTBD12"	"M1"
"469"	"SLC39A14"	"M2"
"470"	"NPC1"	"M2"
"471"	"SLC1A4"	"M2"
"472"	"SPSB1"	"M3"
"473"	"HES1"	"M1"
"474"	"SAMD1"	"M1"
"475"	"SRXN1"	"M1"
"476"	"DYRK2"	"M3"
"477"	"PRKAG3"	"M6"
"478"	"BGN"	"M5"
"479"	"CDKN1C"	"M3"
"480"	"STEAP3"	"M3"
"481"	"LONRF1"	"M3"
"482"	"SLC25A34"	"M1"
"483"	"ADM"	"M8"
"484"	"AKAP12"	"M8"
"485"	"ANKRD27"	"M1"
"486"	"SLPI"	"M1"
"487"	"CPED1"	"M4"
"488"	"THBS1"	"M2"
"489"	"SLC8A3"	"M1"
"490"	"CLU"	"M7"
"491"	"CPTP"	"M1"
"492"	"X.183"	"M6"
"493"	"IQSEC2"	"M1"
"494"	"CCN2"	"M5"
"495"	"GATM"	"M1"
"496"	"B3GNT5"	"M1"
"497"	"TECRL"	"M1"
"498"	"KIAA0408"	"M2"
"499"	"LRRC38"	"M1"
"500"	"GADD45B"	"M8"
"501"	"MT1E"	"M2"
"502"	"PDZRN3"	"M2"
"503"	"RUNX1"	"M2"
"504"	"LGR5"	"M4"
"505"	"LDAF1"	"M1"
"506"	"CTNNA3"	"M1"
"507"	"TRIB1"	"M8"
"508"	"FBN1"	"M5"
"509"	"MRPS6"	"M2"
"510"	"ARG2"	"M3"
"511"	"AKR1C3"	"M1"
"512"	"PRODH"	"M3"
"513"	"FHL2"	"M1"
"514"	"OXCT1"	"M1"
"515"	"CSPP1"	"M1"
"516"	"BMAL1"	"M1"
"517"	"PTGDS"	"M5"
"518"	"MYH8"	"M1"
"519"	"ASB10"	"M1"
"520"	"SERPINB1"	"M2"
"521"	"CHAC1"	"M3"
"522"	"IRS1"	"M1"
"523"	"X.255"	"M2"
"524"	"DBNDD1"	"M1"
"525"	"MAOA"	"M1"
"526"	"HMOX1"	"M1"
"527"	"ARHGAP26"	"M3"
"528"	"SLC24A3"	"M1"
"529"	"TCIM"	"M8"
"530"	"ASB15"	"M4"
"531"	"PIM1"	"M8"
"532"	"KLHL33"	"M1"
"533"	"DBI"	"M1"
"534"	"MAP2K6"	"Not.Correlated"
"535"	"PDE4B"	"M3"
"536"	"SLCO4A1"	"M2"
"537"	"MRLN"	"M7"
"538"	"G0S2"	"M1"
"539"	"PFKFB1"	"M4"
"540"	"STRIP1"	"Not.Correlated"
"541"	"MYC"	"M8"
"542"	"TPPP"	"M1"
"543"	"RIPOR2"	"M4"
"544"	"ABCA7"	"M6"
"545"	"KIAA0040"	"M2"
"546"	"AAMDC"	"M1"
"547"	"CNNM4"	"M4"
"548"	"MAMSTR"	"M1"
"549"	"SBK1"	"M4"
"550"	"SPIDR"	"M1"
"551"	"RPL9"	"Not.Correlated"
"552"	"SMOC2"	"M5"
"553"	"GSTM1"	"M1"
"554"	"PPL"	"M1"
"555"	"SPOCK1"	"M1"
"556"	"PVR"	"M2"
"557"	"SCN3B"	"M2"
"558"	"IL17D"	"M1"
"559"	"ZNF423"	"M6"
"560"	"PER3"	"M1"
"561"	"CRISPLD2"	"M2"
"562"	"THBD"	"M2"
"563"	"CXCR5"	"M4"
"564"	"HEXIM2"	"M5"
"565"	"KCNB1"	"M6"
"566"	"CPEB3"	"M2"
"567"	"TNIK"	"M4"
"568"	"SIX2"	"M5"
"569"	"YPEL1"	"M1"
"570"	"COL15A1"	"M5"
"571"	"RASL10B"	"M1"
"572"	"KCNN3"	"M4"
"573"	"MAFA"	"M6"
"574"	"LIMK1"	"M1"
"575"	"TRO"	"M4"
"576"	"LINGO4"	"M5"
"577"	"DHRS7C"	"M1"
"578"	"LRRK2"	"M5"
"579"	"PRUNE2"	"M7"
"580"	"SMAP2"	"M1"
"581"	"SERPINA3"	"M2"
"582"	"AASS"	"M3"
"583"	"TMEM131L"	"M3"
"584"	"NCAM1"	"M5"
"585"	"FNIP2"	"M2"
"586"	"X.61"	"M2"
"587"	"PLCL1"	"M1"
"588"	"KLHL29"	"M3"
"589"	"PODN"	"M5"
"590"	"BCL2"	"M2"
"591"	"INKA2"	"M8"
"592"	"LGALSL"	"M3"
"593"	"HIF3A"	"M3"
"594"	"ELN"	"M7"
"595"	"MYOD1"	"M4"
"596"	"MFAP4"	"M5"
"597"	"CD44"	"M7"
"598"	"FRMD8"	"M2"
"599"	"ASB12"	"M6"
"600"	"NPAS2"	"M1"
"601"	"DDAH1"	"M4"
"602"	"MLF1"	"M1"
"603"	"CHST15"	"M4"
"604"	"TRIM55"	"M4"
"605"	"ATP1B4"	"M4"
"606"	"LRRC14B"	"M4"
"607"	"RNF150"	"M1"
"608"	"CCDC3"	"M7"
"609"	"FLRT2"	"M3"
"610"	"MYLK3"	"M1"
"611"	"CISH"	"M2"
"612"	"MRC2"	"M5"
"613"	"TIPARP"	"M2"
"614"	"CMSS1"	"M1"
"615"	"CHRNA10"	"M4"
"616"	"ADIRF"	"M5"
"617"	"KLF5"	"M2"
"618"	"TPPP3"	"M1"
"619"	"MYADML2"	"M4"
"620"	"SNTB1"	"M1"
"621"	"SAA1"	"M1"
"622"	"PER2"	"M1"
"623"	"MIEF2"	"M1"
"624"	"CD163"	"M1"
"625"	"SVEP1"	"M7"
"626"	"ADAMTS9"	"M8"
"627"	"SLCO5A1"	"M1"
"628"	"TNFRSF12A"	"M4"
"629"	"OSMR"	"M8"
"630"	"DDX11"	"Not.Correlated"
"631"	"CEBPA"	"M6"
"632"	"CILP"	"M5"
"633"	"S100A4"	"M5"
"634"	"FAM78A"	"M1"
"635"	"ITIH5"	"M5"
"636"	"LSP1"	"M5"
"637"	"DPT"	"M5"
"638"	"TENT5C"	"M4"
"639"	"TSPAN8"	"M1"
"640"	"IGFBP6"	"M5"
"641"	"KCNS3"	"M4"
"642"	"ABCG1"	"M3"
"643"	"ACKR3"	"M5"
"644"	"COL4A4"	"M4"
"645"	"ANOS1"	"M4"
"646"	"MYBPH"	"M1"
"647"	"HPN"	"M2"
"648"	"ADAMTS4"	"M8"
"649"	"EDNRB"	"M2"
"650"	"MYH13"	"M1"
"651"	"ACKR1"	"M8"
"652"	"OLFML2A"	"M3"
"653"	"SCN4B"	"M1"
"654"	"AQP7"	"M1"
"655"	"ADH1C"	"M1"
"656"	"BCL3"	"M8"
"657"	"RPS4Y1"	"Not.Correlated"
"658"	"MYOC"	"M5"
"659"	"GPNMB"	"M5"
"660"	"ITGB6"	"M1"
"661"	"SCARA5"	"M5"
"662"	"IRAK2"	"M1"
"663"	"NPHP1"	"M2"
"664"	"TOGARAM2"	"M3"
"665"	"SEMA3C"	"M2"
"666"	"UCK2"	"M2"
"667"	"HBEGF"	"M3"
"668"	"PAFAH2"	"M1"
"669"	"SERPINE1"	"M8"
"670"	"TTC9"	"M4"
"671"	"AGBL1"	"M1"
"672"	"SYNJ2"	"M3"
"673"	"CCN5"	"M5"
"674"	"AGTRAP"	"M1"
"675"	"LAMA4"	"M5"
"676"	"PIK3IP1"	"M4"
"677"	"FAM13C"	"M4"
"678"	"OTUD1"	"M1"
"679"	"STIM2"	"Not.Correlated"
"680"	"RND3"	"M2"
"681"	"MDFIC"	"M1"
"682"	"FHIP1A"	"M4"
"683"	"HMGB3"	"M1"
"684"	"IGDCC4"	"M1"
"685"	"CD248"	"M5"
"686"	"AOX1"	"M3"
"687"	"LRP4"	"Not.Correlated"
"688"	"HTATIP2"	"M1"
"689"	"ARNT2"	"M7"
"690"	"ZNF385A"	"Not.Correlated"
"691"	"FADS1"	"M3"
"692"	"GPIHBP1"	"M8"
"693"	"TM6SF1"	"M1"
"694"	"PYCR1"	"M2"
"695"	"TIMP1"	"M8"
"696"	"AEN"	"M2"
"697"	"ITGA10"	"M1"
"698"	"CD82"	"M1"
"699"	"PPM1J"	"M1"
"700"	"C12orf75"	"M1"
"701"	"CHRNG"	"M1"
"702"	"CHAF1B"	"M6"
"703"	"RXRG"	"M1"
"704"	"MAFB"	"M3"
"705"	"POSTN"	"M7"
"706"	"NIPSNAP3B"	"M1"
"707"	"SLC5A3"	"M2"
"708"	"PSTPIP2"	"M1"
"709"	"RASD2"	"M1"
"710"	"EGLN3"	"M3"
"711"	"ISLR"	"M5"
"712"	"MLLT11"	"M5"
"713"	"SNPH"	"M5"
"714"	"REEP1"	"M1"
"715"	"CX3CL1"	"M5"
"716"	"SH3BP4"	"M1"
"717"	"AVIL"	"M2"
"718"	"PLEKHN1"	"M6"
"719"	"DUSP29"	"M1"
"720"	"RASGRP3"	"M1"
"721"	"SLITRK4"	"M1"
"722"	"SLIT3"	"M5"
"723"	"TRIM45"	"M3"
"724"	"PPARGC1B"	"M2"
"725"	"OSBPL7"	"M2"
"726"	"MPV17L"	"M3"
"727"	"SIPA1L2"	"M7"
"728"	"MT1G"	"M2"
"729"	"MFAP5"	"M5"
"730"	"CLEC3B"	"M5"
"731"	"BICC1"	"M3"
"732"	"CYP4B1"	"M3"
"733"	"COL5A1"	"M5"
"734"	"ZNF385B"	"M6"
"735"	"ANGPTL4"	"M2"
"736"	"PAQR4"	"M1"
"737"	"RNF122"	"M8"
"738"	"CLCN1"	"M1"
"739"	"SLC38A3"	"M1"
"740"	"FAM174B"	"M1"
"741"	"PDP1"	"M2"
"742"	"CIART"	"M7"
"743"	"MYOF"	"M5"
"744"	"PANX1"	"M2"
"745"	"OSGIN1"	"M7"
"746"	"VCAN"	"M7"
"747"	"IGF1"	"M7"
"748"	"PVRIG"	"M3"
"749"	"SOCS3"	"M8"
"750"	"SMAD9"	"Not.Correlated"
"751"	"FRZB"	"Not.Correlated"
"752"	"SORBS2"	"M7"
"753"	"EIF2AK3"	"M2"
"754"	"ZNF331"	"M8"
"755"	"MAP1A"	"M5"
"756"	"KLHL34"	"M4"
"757"	"CES4A"	"M1"
"758"	"PLA2G2A"	"M1"
"759"	"KCNAB2"	"M2"
"760"	"MUC3A"	"M2"
"761"	"EML1"	"M1"
"762"	"SOD3"	"M5"
"763"	"ASB4"	"M4"
"764"	"TGIF1"	"M2"
"765"	"CERS1"	"M1"
"766"	"ABI3BP"	"M5"
"767"	"EFEMP1"	"M7"
"768"	"NANOS1"	"M6"
"769"	"CASTOR2"	"M5"
"770"	"ICAM1"	"M8"
"771"	"ATF3"	"M8"
"772"	"FN3K"	"M1"
"773"	"RGS3"	"M1"
"774"	"NR3C2"	"M1"
"775"	"PPM1K"	"M2"
"776"	"CLEC2B"	"M8"
"777"	"STON2"	"M3"
"778"	"RSPO3"	"M1"
"779"	"IFFO2"	"Not.Correlated"
"780"	"MOB3B"	"M3"
"781"	"AQP4"	"M1"
"782"	"PRKAG2"	"M3"
"783"	"PRG4"	"M7"
"784"	"ASB14"	"M4"
"785"	"HLA.DRB5"	"M5"
"786"	"ETV5"	"M1"
"787"	"FZD7"	"M2"
"788"	"SLC25A33"	"M3"
"789"	"WSCD1"	"M1"
"790"	"RELB"	"M1"
"791"	"SLC26A2"	"M4"
"792"	"NAT8L"	"M1"
"793"	"ADGRD1"	"M2"
"794"	"LUM"	"M5"
"795"	"MAP3K7CL"	"M4"
"796"	"CFAP46"	"M1"
"797"	"PCOLCE"	"M5"
"798"	"PHLDA1"	"M3"
"799"	"ZC3H12A"	"M2"
"800"	"BOC"	"M5"
"801"	"PHLDB2"	"M5"
"802"	"KDM5D"	"Not.Correlated"
"803"	"FAM217B"	"M2"
"804"	"SMOC1"	"M4"
"805"	"PLAAT1"	"M6"
"806"	"URB2"	"M3"
"807"	"RPGR"	"M2"
"808"	"CCL14"	"M7"
"809"	"UCHL1"	"M5"
"810"	"PLEKHA6"	"M1"
"811"	"F13A1"	"M1"
"812"	"DOK5"	"M1"
"813"	"AMER1"	"M3"
"814"	"MAP3K5"	"M2"
"815"	"RCC1"	"M1"
"816"	"LSMEM1"	"M1"
"817"	"GDF1"	"M1"
"818"	"EFCAB7"	"M6"
"819"	"IRF1"	"M8"
"820"	"S100A9"	"M2"
"821"	"SH3RF3"	"M2"
