"genes"	"modules"
"1"	"ACTA1"	"M6"
"2"	"MYH7"	"M6"
"3"	"MB"	"M6"
"4"	"FLNC"	"M1"
"5"	"TNNT1"	"M6"
"6"	"MYH1"	"M1"
"7"	"PYGM"	"M6"
"8"	"UBC"	"M1"
"9"	"MYL2"	"M6"
"10"	"MYH2"	"M1"
"11"	"MT.ND6"	"Not.Correlated"
"12"	"NRAP"	"M4"
"13"	"TNNT3"	"M1"
"14"	"ATP2A2"	"M6"
"15"	"TNNC2"	"M1"
"16"	"PDK4"	"M3"
"17"	"SYNPO2"	"M1"
"18"	"TCAP"	"M1"
"19"	"GLUL"	"M3"
"20"	"TNNC1"	"M6"
"21"	"ATP2A1"	"M1"
"22"	"TPM3"	"M6"
"23"	"MKNK2"	"M3"
"24"	"PDLIM3"	"M4"
"25"	"MYL1"	"M1"
"26"	"TNNI1"	"M6"
"27"	"XIRP2"	"M4"
"28"	"HSPB6"	"M6"
"29"	"TNNI2"	"M1"
"30"	"TXNIP"	"M1"
"31"	"TPM1"	"M1"
"32"	"MYBPC2"	"M1"
"33"	"FBXO32"	"M1"
"34"	"HSPB1"	"M1"
"35"	"CA3"	"M1"
"36"	"MYL11"	"M1"
"37"	"LDB3"	"M1"
"38"	"MYOM1"	"M1"
"39"	"FKBP5"	"M3"
"40"	"TRIM63"	"M1"
"41"	"BCL6"	"M1"
"42"	"CALM1"	"M8"
"43"	"ACSL1"	"M3"
"44"	"MYOT"	"M4"
"45"	"MYL12A"	"M1"
"46"	"NEXN"	"M4"
"47"	"CTSD"	"M1"
"48"	"MYOM2"	"M6"
"49"	"PLIN4"	"M6"
"50"	"MYH6"	"M6"
"51"	"PFKFB3"	"M2"
"52"	"CASQ1"	"M1"
"53"	"ADPRHL1"	"M3"
"54"	"IGFBP5"	"M2"
"55"	"ZFAND5"	"M3"
"56"	"SLN"	"M4"
"57"	"STRIT1"	"M6"
"58"	"MT1X"	"M2"
"59"	"LDHA"	"M1"
"60"	"EGLN1"	"M1"
"61"	"COX6A2"	"M1"
"62"	"CAPN3"	"M1"
"63"	"ACACB"	"M3"
"64"	"MYOM3"	"M6"
"65"	"X.95"	"M1"
"66"	"KLHL40"	"M6"
"67"	"PADI2"	"M1"
"68"	"GPX3"	"M1"
"69"	"XIRP1"	"M1"
"70"	"LMOD2"	"M4"
"71"	"APOD"	"M1"
"72"	"EEF1A1"	"M7"
"73"	"X.47"	"M1"
"74"	"CHMP1B"	"M2"
"75"	"CKMT2"	"M6"
"76"	"SMYD1"	"M4"
"77"	"ADSS1"	"M1"
"78"	"TSC22D3"	"M3"
"79"	"IGFN1"	"Not.Correlated"
"80"	"DCN"	"M7"
"81"	"LPIN1"	"M3"
"82"	"LMOD3"	"M4"
"83"	"PPP1R27"	"Not.Correlated"
"84"	"RRAD"	"M2"
"85"	"MT2A"	"M2"
"86"	"FABP3"	"M6"
"87"	"DBNL"	"M1"
"88"	"VEGFA"	"M6"
"89"	"RPL3L"	"M1"
"90"	"PKIA"	"M1"
"91"	"CACNA1S"	"M1"
"92"	"DDN"	"M1"
"93"	"VCL"	"M3"
"94"	"ABLIM2"	"M2"
"95"	"NR4A1"	"M8"
"96"	"MYLK2"	"M1"
"97"	"ANKRD2"	"M6"
"98"	"BHLHE40"	"M8"
"99"	"MYL3"	"M6"
"100"	"RHOB"	"M3"
"101"	"TMEM38A"	"M1"
"102"	"AGL"	"M1"
"103"	"PGAM2"	"M1"
"104"	"SEMA6C"	"M1"
"105"	"SYNPO2L"	"M4"
"106"	"IP6K3"	"M3"
"107"	"RBM24"	"M4"
"108"	"TXLNB"	"M4"
"109"	"FLNA"	"M5"
"110"	"KLHL30"	"M1"
"111"	"SYPL2"	"M6"
"112"	"HJV"	"M4"
"113"	"MEF2C"	"M4"
"114"	"S100A1"	"M4"
"115"	"AMPD1"	"M4"
"116"	"DHRS7"	"M1"
"117"	"PLIN2"	"M3"
"118"	"LIMCH1"	"M1"
"119"	"GLRX"	"M1"
"120"	"ASB5"	"M4"
"121"	"SLC7A6"	"M1"
"122"	"UCP3"	"M5"
"123"	"TMOD4"	"M4"
"124"	"PERM1"	"M6"
"125"	"EMC10"	"M1"
"126"	"DHCR24"	"M5"
"127"	"FOSL2"	"M2"
"128"	"VIM"	"M7"
"129"	"ARRDC2"	"M3"
"130"	"MYOZ2"	"M6"
