symbol1,symbol2,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
FEN1,OLFM4,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000287, GO:0017108, GO:0007613, GO:0090305, GO:0005739, GO:0003677, GO:0009650, GO:0008409, GO:0060041, GO:0006302, GO:0000724, GO:0004527, GO:0016020, GO:0004523, GO:0005654, GO:0006260, GO:0003690, GO:0046872, GO:0006309, GO:0045876, GO:0006281, GO:0030145, GO:0006974, GO:0048256, GO:0008309, GO:0045145, GO:0090502, GO:0032991, GO:0051908, GO:0004519, GO:0005730, GO:0032201, GO:0003684, GO:0043137, GO:0005515, GO:0005634, GO:0000784","GO:2000389, GO:0042981, GO:0050764, GO:0005615, GO:1900026, GO:0051260, GO:0005739, GO:0035580, GO:0048471, GO:0042803, GO:1904724, GO:0010939, GO:0030141, GO:0042581, GO:0003824, GO:0042582, GO:0005886, GO:0007155, GO:0070062, GO:0043312, GO:0045296, GO:0005576, GO:0005515"
CDH1,SHROOM3,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0007416, GO:0035635, GO:0015629, GO:0034332, GO:0016339, GO:0032794, GO:0009898, GO:0007043, GO:0051301, GO:0031175, GO:0021983, GO:0007275, GO:0022408, GO:0072425, GO:0000902, GO:0050839, GO:0040020, GO:0070062, GO:0016600, GO:0070979, GO:0097027, GO:0016021, GO:0009636, GO:0005654, GO:0098609, GO:0030198, GO:0005509, GO:1904668, GO:0048471, GO:0042802, GO:0042803, GO:0008284, GO:0005737, GO:0016328, GO:0006281, GO:0030027, GO:0070306, GO:0009986, GO:0031965, GO:0048699, GO:0008013, GO:0006974, GO:0072659, GO:0005913, GO:0045893, GO:0005886, GO:0042307, GO:0044331, GO:0007156, GO:0030506, GO:0010997, GO:0071681, GO:0007049, GO:0031145, GO:0071285, GO:0008092, GO:0043296, GO:0030054, GO:0005802, GO:0016342, GO:0045295, GO:0045296, GO:0030864, GO:0045732, GO:0005576, GO:0005515, GO:0090344, GO:0005768, GO:0005829, GO:0005680","GO:0005737, GO:0005856, GO:0045176, GO:0000902, GO:0007389, GO:0016324, GO:0043296, GO:0043482, GO:0051015, GO:0030864, GO:0008360, GO:0005912, GO:0030036, GO:0001843, GO:0007015, GO:0005874, GO:0002064"
CD69,ISG15,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0009897, GO:0032991, GO:0005515, GO:0030246, GO:0004888, GO:0035690, GO:0005509, GO:0005887, GO:0042803, GO:0007165","GO:0006974, GO:0032649, GO:0051607, GO:0005515, GO:0032480, GO:0045648, GO:0019985, GO:0005829, GO:0006281, GO:0019941, GO:0045071, GO:0034340, GO:0005654, GO:0005576, GO:0042742, GO:0016032, GO:0031397, GO:0060337, GO:0030501, GO:0031386, GO:0032020"
RECQL4,SLC2A1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0009378, GO:0000781, GO:0003677, GO:0000733, GO:0061821, GO:0061820, GO:0000723, GO:0000724, GO:0005634, GO:0016020, GO:0007275, GO:0006260, GO:0043140, GO:0005694, GO:0003697, GO:0005524, GO:0008284, GO:0032357, GO:0006284, GO:0045740, GO:0006281, GO:0032508, GO:0004386, GO:0006974, GO:0010971, GO:0036310, GO:0006310, GO:0000405, GO:0005737, GO:0005515","GO:0071260, GO:0055056, GO:0014704, GO:0005901, GO:0010827, GO:0032868, GO:0030864, GO:0021987, GO:0030018, GO:0005989, GO:0070062, GO:0016020, GO:1904016, GO:0072562, GO:0071474, GO:0065003, GO:0042908, GO:0042802, GO:0005355, GO:0042383, GO:0042910, GO:0019852, GO:0016324, GO:0050796, GO:0016323, GO:0019900, GO:0005887, GO:0005886, GO:0042149, GO:0043621, GO:0042470, GO:0007565, GO:0005829, GO:0070837, GO:0030496, GO:0000139, GO:0001939, GO:1904659, GO:0005515, GO:0033300"
NABP1,WNK2,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0005737, GO:0008285, GO:0006468, GO:0050801, GO:0090263, GO:2000651, GO:0005829, GO:0004674, GO:0032414, GO:0005886, GO:0035556, GO:0070373, GO:0046777, GO:0005524"
GADD45A,KIAA0040,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982",GO:0005515
ANGPT1,GADD45A,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0005088, GO:0033138, GO:0000165, GO:0030154, GO:2000446, GO:0007162, GO:0043524, GO:0002740, GO:0051897, GO:0001701, GO:0005615, GO:0072012, GO:0045785, GO:0030971, GO:0034394, GO:0043066, GO:0031398, GO:0002040, GO:0014842, GO:0043122, GO:0030210, GO:0031589, GO:2000352, GO:0043536, GO:0043393, GO:0002092, GO:0007171, GO:0005886, GO:0050918, GO:0048014, GO:0042308, GO:0070062, GO:0070374, GO:0010595, GO:0001936, GO:0050731, GO:0045121, GO:0005902, GO:0050900, GO:0005622, GO:0032680, GO:0005576, GO:0030097, GO:0001933, GO:0043116, GO:0014068","GO:0000185, GO:0071260, GO:2000379, GO:0005737, GO:0005654, GO:0071479, GO:0005634, GO:0043065, GO:0042803, GO:0016607, GO:0006469, GO:1900745, GO:0006281, GO:0006915, GO:0007050, GO:0019900, GO:0046330, GO:0006977, GO:0071850, GO:0042770, GO:0006974, GO:0000979, GO:0047485, GO:0051726, GO:0000079, GO:0007098, GO:0005515, GO:0046982"
GEN1,MTARC1,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0000737, GO:0017108, GO:0090267, GO:0090305, GO:0070914, GO:0008310, GO:0008311, GO:0000724, GO:0005813, GO:0000287, GO:0004520, GO:0005654, GO:0003690, GO:0031297, GO:0003697, GO:0042803, GO:0071139, GO:0006281, GO:0006974, GO:0048256, GO:0003677, GO:0045145, GO:0000400, GO:0000738, GO:0010824, GO:0072422, GO:0008821, GO:0051908, GO:0071140",
CHL1,CP,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0032091, GO:0034085, GO:0008026, GO:0030496, GO:0030892, GO:0072719, GO:0030425, GO:0043524, GO:0007165, GO:0003677, GO:0007411, GO:1904976, GO:0007275, GO:0007062, GO:0005737, GO:0005654, GO:0045177, GO:0036498, GO:0070062, GO:0003727, GO:0005813, GO:0016021, GO:0045142, GO:0000922, GO:0035640, GO:0008186, GO:0002020, GO:0003690, GO:0046872, GO:0031297, GO:0003697, GO:0005524, GO:0045876, GO:0032079, GO:0031103, GO:0016032, GO:0006281, GO:0004003, GO:0032508, GO:0008094, GO:0004386, GO:0001650, GO:0000790, GO:0072711, GO:1990700, GO:0005886, GO:0007155, GO:1901838, GO:0035563, GO:0044806, GO:0008344, GO:0006974, GO:0031390, GO:0051880, GO:0051539, GO:0005730, GO:0050890, GO:2000781, GO:0003688, GO:0006351, GO:0005515, GO:0001764, GO:0003682, GO:0005634","GO:0044267, GO:0016722, GO:0006879, GO:0005615, GO:0004322, GO:0043687, GO:0051087, GO:0005788, GO:0005765, GO:0005576, GO:0072562, GO:0006825, GO:0005507, GO:0055114, GO:0070062"
NABP1,TRIM55,,exp,coexpression,0,,xxxxxx,xxxxxx,"GO:0006974, GO:0010212, GO:0005829, GO:0000724, GO:0005634, GO:0006281, GO:0005654, GO:0003723, GO:0005515, GO:0042795, GO:0007093, GO:0003697, GO:0070876, GO:0000784","GO:0005737, GO:0005634, GO:0007165, GO:0005515, GO:0005874, GO:0042802, GO:0008270"
