symbol1,symbol2,Unnamed: 0,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
PSMD14,NOL10,217,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0022624, GO:0061578, GO:1904813, GO:0031597, GO:0000502, GO:0008541, GO:0006303, GO:0070628, GO:0000724, GO:0043161, GO:0005634, GO:0004843, GO:0005654, GO:0006511, GO:0008237, GO:0046872, GO:0016579, GO:0070536, GO:0006281, GO:0061136, GO:0043687, GO:0061133, GO:0006974, GO:0045471, GO:0034774, GO:0010950, GO:0036459, GO:0005829, GO:0043312, GO:0005576, GO:0005515","GO:0000462, GO:0032040, GO:0003723, GO:0005730"
FAN1,PAN2,271,,exp,coexpression,15,,xxxxxx,xxxxxx,"GO:0019221, GO:0090091, GO:0017108, GO:0030035, GO:0030036, GO:0008144, GO:0030175, GO:0005902, GO:0007163, GO:0007043, GO:0009653, GO:0015629, GO:0005737, GO:0001725, GO:0001726, GO:0002102, GO:0045171, GO:0070062, GO:0000724, GO:0043209, GO:0005634, GO:0000287, GO:0070336, GO:0033683, GO:0051491, GO:0003779, GO:0140036, GO:0036297, GO:0016477, GO:0071803, GO:0005856, GO:0031941, GO:0008283, GO:0030027, GO:0051017, GO:0031253, GO:0044393, GO:0051015, GO:0030426, GO:0006974, GO:0035089, GO:0008409, GO:0005911, GO:0032956, GO:0006281, GO:0006289, GO:0004528, GO:0030674, GO:0010592, GO:0048870, GO:0005829, GO:0071437, GO:0045296, GO:0003723, GO:0005515, GO:0005654, GO:0032534","GO:0005783, GO:0005789, GO:0003676, GO:0042572, GO:0001649, GO:0016491, GO:0000289, GO:0005634, GO:0016020, GO:0052650, GO:0046872, GO:0005524, GO:0031251, GO:0006954, GO:0055114, GO:0090503, GO:0005829, GO:0004535, GO:0000932, GO:0000175, GO:0005765, GO:0005515, GO:0032479, GO:0006397"
RPS5,RPS3,280,,exp,coexpression,17,,xxxxxx,xxxxxx,"GO:0005654, GO:0000028, GO:0000184, GO:0022627, GO:0070062, GO:0005829, GO:0016020, GO:1990904, GO:0006614, GO:0019843, GO:0003735, GO:0005840, GO:0006450, GO:0003723, GO:0005515, GO:0005925, GO:0006413, GO:0006412, GO:0003729","GO:0097100, GO:0000184, GO:0005783, GO:0031116, GO:2001235, GO:0019901, GO:1902546, GO:1905053, GO:0006614, GO:0019899, GO:0050862, GO:1901224, GO:0010628, GO:0042769, GO:0003677, GO:0051536, GO:0043507, GO:0070301, GO:0005925, GO:0042981, GO:0051225, GO:0051301, GO:0022627, GO:0005737, GO:0003735, GO:0072686, GO:0070062, GO:0005730, GO:0030544, GO:0070181, GO:0005634, GO:0016020, GO:0004520, GO:0032358, GO:0005654, GO:0071159, GO:0000977, GO:0005759, GO:0031397, GO:0051879, GO:0008134, GO:0006351, GO:0032357, GO:0015631, GO:0032079, GO:0032587, GO:0006281, GO:0042104, GO:0008017, GO:0006915, GO:0031334, GO:0019104, GO:0044390, GO:0003906, GO:0019900, GO:0032743, GO:0005886, GO:0007059, GO:1902231, GO:0006979, GO:0051092, GO:0005844, GO:0061481, GO:0140078, GO:0005840, GO:0005829, GO:0071356, GO:1990904, GO:0008534, GO:0006412, GO:0006974, GO:0005743, GO:2001272, GO:0051018, GO:0003723, GO:0005515, GO:0017148, GO:0044877, GO:0045739, GO:0045738, GO:0006413, GO:0003684, GO:0003729"
FEN1,MAD2L1BP,291,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0000287, GO:0017108, GO:0007613, GO:0090305, GO:0005739, GO:0003677, GO:0009650, GO:0008409, GO:0060041, GO:0006302, GO:0000724, GO:0004527, GO:0016020, GO:0004523, GO:0005654, GO:0006260, GO:0003690, GO:0046872, GO:0006309, GO:0045876, GO:0006281, GO:0030145, GO:0006974, GO:0048256, GO:0008309, GO:0045145, GO:0090502, GO:0032991, GO:0051908, GO:0004519, GO:0005730, GO:0032201, GO:0003684, GO:0043137, GO:0005515, GO:0005634, GO:0000784","GO:0005737, GO:0005819, GO:0005730, GO:0005634, GO:0031965, GO:0005515, GO:0007096, GO:0007093"
RPS27A,RPL41,297,,exp,coexpression,18,,xxxxxx,xxxxxx,"GO:0000187, GO:0006294, GO:0006297, GO:0000184, GO:0015935, GO:0019985, GO:0019068, GO:0019058, GO:0006614, GO:0005789, GO:0061024, GO:0006296, GO:0042769, GO:0043065, GO:0070987, GO:0061418, GO:0000209, GO:0010008, GO:0005737, GO:0003735, GO:0007254, GO:0030666, GO:0005615, GO:0070498, GO:0000122, GO:0043209, GO:0005634, GO:0016020, GO:0033683, GO:0055085, GO:0005654, GO:0070628, GO:0016055, GO:0043488, GO:0035666, GO:0046872, GO:0016579, GO:0042276, GO:0006283, GO:0044267, GO:0006625, GO:0019941, GO:0043066, GO:0031145, GO:0070423, GO:0006974, GO:0051092, GO:0019221, GO:0005886, GO:0051403, GO:0006281, GO:0022627, GO:0030512, GO:0007179, GO:0031982, GO:0016197, GO:0002755, GO:0075733, GO:0031625, GO:0043657, GO:0070062, GO:0005829, GO:0005730, GO:0007249, GO:0036297, GO:0000715, GO:0016567, GO:0005741, GO:0045944, GO:0003723, GO:0005515, GO:0031386, GO:0006413, GO:0006412, GO:0070911","GO:0000184, GO:0022625, GO:0048027, GO:0005829, GO:0006614, GO:0003735, GO:0003723, GO:0002181, GO:0042788, GO:0006413, GO:0006412, GO:0003730"
C19orf53,POLR2I,299,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0005634, GO:0005730","GO:0008270, GO:0003676, GO:0008543, GO:0001193, GO:0005730, GO:0005634, GO:0005654, GO:0006367, GO:0006366, GO:0006368, GO:0006283, GO:0006281, GO:0006974, GO:0060964, GO:0042795, GO:0016070, GO:0000428, GO:0000398, GO:0006370, GO:0005665, GO:0003899, GO:0006379"
UBA52,RPS23,315,,exp,coexpression,15,,xxxxxx,xxxxxx,"GO:0000187, GO:0006294, GO:0006297, GO:0000184, GO:0005783, GO:0019985, GO:0019068, GO:0006614, GO:0005789, GO:0061024, GO:0006296, GO:0042769, GO:0043065, GO:0070987, GO:0061418, GO:0000209, GO:0010008, GO:0005737, GO:0003735, GO:0007254, GO:0030666, GO:0005615, GO:0070498, GO:0000122, GO:0005634, GO:0006281, GO:0033683, GO:0055085, GO:0005654, GO:0070628, GO:0019058, GO:0043488, GO:0035666, GO:0016579, GO:0042276, GO:0006283, GO:0044267, GO:0006625, GO:0016567, GO:0043066, GO:0006464, GO:0070423, GO:0006974, GO:0051092, GO:0015935, GO:0031145, GO:0019221, GO:0005886, GO:0019941, GO:0051403, GO:0022627, GO:0030512, GO:0007179, GO:0031982, GO:0016197, GO:0002755, GO:0075733, GO:0031625, GO:0005840, GO:0043657, GO:0070062, GO:0005829, GO:0016055, GO:0007249, GO:0036297, GO:0000715, GO:0005765, GO:0005741, GO:0045944, GO:0005515, GO:0031386, GO:0006413, GO:0070911","GO:0005654, GO:0000184, GO:0005791, GO:0005783, GO:0005829, GO:0016020, GO:0034063, GO:0006614, GO:0003735, GO:1990145, GO:0022627, GO:0003723, GO:0005515, GO:0002181, GO:0042788, GO:0006413, GO:0006412, GO:0005840"
GIGYF1,EME2,337,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0032991, GO:0048009, GO:0008150, GO:0005515","GO:0006302, GO:0006281, GO:0000712, GO:0006974, GO:0090305, GO:0000790, GO:0005515, GO:0003677, GO:0008821, GO:0031297, GO:0048476, GO:0031573"
ZNF780B,INO80E,345,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005634, GO:0046872, GO:0006351, GO:0003677","GO:0006310, GO:0006974, GO:0006338, GO:0006281, GO:0005634, GO:0005730, GO:0031011, GO:0005654, GO:0006355, GO:0006351, GO:0005515, GO:0016579"
DDB1,PSMD2,350,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0035518, GO:0006294, GO:0006296, GO:0006293, GO:1902188, GO:0070914, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0006283, GO:0005737, GO:0005615, GO:0080008, GO:0045732, GO:0043161, GO:0005634, GO:0045070, GO:0033683, GO:0005654, GO:0043066, GO:0071987, GO:0016032, GO:0031461, GO:0006281, GO:0043687, GO:0006289, GO:0006974, GO:0046726, GO:0051702, GO:0031464, GO:0031465, GO:0070062, GO:0030674, GO:0032991, GO:0097602, GO:0016055, GO:0010498, GO:0000715, GO:0016567, GO:0006511, GO:0005515, GO:0044877, GO:0003684, GO:1901990","GO:0004175, GO:0022624, GO:1904813, GO:0042176, GO:0008540, GO:0005838, GO:0070062, GO:0043161, GO:0005634, GO:0016020, GO:0005654, GO:0016579, GO:0030234, GO:0034515, GO:0043687, GO:0050790, GO:0034774, GO:0000502, GO:0005829, GO:0043312, GO:0005576, GO:0005515"
ABL1,PLEKHO2,397,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0031113, GO:0034446, GO:0046632, GO:0030425, GO:0051281, GO:0072358, GO:2001020, GO:0007169, GO:0051894, GO:0051496, GO:0031234, GO:0004715, GO:0004713, GO:0043124, GO:0046875, GO:0043123, GO:0042127, GO:2000096, GO:1902715, GO:2000251, GO:0031965, GO:1904531, GO:0045184, GO:0048536, GO:0019905, GO:0030516, GO:0030514, GO:0001843, GO:0004515, GO:0045580, GO:1900275, GO:1900272, GO:0050731, GO:0005829, GO:0007204, GO:0051353, GO:0005080, GO:1904528, GO:0006298, GO:0035791, GO:0071901, GO:0042981, GO:0043542, GO:0016604, GO:1990051, GO:0005654, GO:1900042, GO:0048471, GO:0043025, GO:0045087, GO:0005524, GO:0050798, GO:0016301, GO:0031252, GO:0030145, GO:0007050, GO:0048668, GO:0032956, GO:1901216, GO:0032489, GO:0038096, GO:0050885, GO:0007229, GO:0090050, GO:0006355, GO:2000145, GO:0008022, GO:1905555, GO:0030155, GO:0030154, GO:0009791, GO:2000352, GO:0046777, GO:0005737, GO:0038083, GO:0005730, GO:1900026, GO:0005634, GO:0000287, GO:0005739, GO:1902036, GO:0060563, GO:0001784, GO:0051444, GO:0042169, GO:1903053, GO:0070301, GO:0051015, GO:0030035, GO:0006974, GO:0006975, GO:0030036, GO:0010595, GO:0090135, GO:0006979, GO:0008630, GO:0033690, GO:2000249, GO:0005515, GO:0002333, GO:0005102, GO:0070374, GO:0070373, GO:2000773, GO:1903351, GO:0071222, GO:0015629, GO:0003677, GO:0017124, GO:0018108, GO:0051149, GO:0022408, GO:0070064, GO:0038189, GO:0006281, GO:0043065, GO:0048538, GO:0004672, GO:0001922, GO:1905244, GO:0002322, GO:0010506, GO:0045931, GO:0045930, GO:0006468, GO:0050853, GO:0000278, GO:0006914, GO:0051019, GO:0006464, GO:0003785, GO:0034599, GO:0030100, GO:0042770, GO:0021587, GO:0038191, GO:0032991, GO:0051882, GO:0098794, GO:0060020, GO:0007173, GO:0001934","GO:1904813, GO:0005576, GO:0043312"
RPL5,RPS3,402,,exp,coexpression,14,,xxxxxx,xxxxxx,"GO:0000184, GO:0005783, GO:0022625, GO:0006614, GO:0050821, GO:0010628, GO:0005925, GO:0000027, GO:0005737, GO:0003735, GO:0048027, GO:0070062, GO:0005730, GO:0005634, GO:0016020, GO:2000059, GO:0005654, GO:0006364, GO:1904667, GO:1901796, GO:0045727, GO:0003730, GO:0042273, GO:0008097, GO:0031625, GO:0032991, GO:0005829, GO:1990904, GO:1990948, GO:0003723, GO:0005515, GO:2000435, GO:0006413, GO:0006412","GO:0097100, GO:0000184, GO:0005783, GO:0031116, GO:2001235, GO:0019901, GO:1902546, GO:1905053, GO:0006614, GO:0019899, GO:0050862, GO:1901224, GO:0010628, GO:0042769, GO:0003677, GO:0051536, GO:0043507, GO:0070301, GO:0005925, GO:0042981, GO:0051225, GO:0051301, GO:0022627, GO:0005737, GO:0003735, GO:0072686, GO:0070062, GO:0005730, GO:0030544, GO:0070181, GO:0005634, GO:0016020, GO:0004520, GO:0032358, GO:0005654, GO:0071159, GO:0000977, GO:0005759, GO:0031397, GO:0051879, GO:0008134, GO:0006351, GO:0032357, GO:0015631, GO:0032079, GO:0032587, GO:0006281, GO:0042104, GO:0008017, GO:0006915, GO:0031334, GO:0019104, GO:0044390, GO:0003906, GO:0019900, GO:0032743, GO:0005886, GO:0007059, GO:1902231, GO:0006979, GO:0051092, GO:0005844, GO:0061481, GO:0140078, GO:0005840, GO:0005829, GO:0071356, GO:1990904, GO:0008534, GO:0006412, GO:0006974, GO:0005743, GO:2001272, GO:0051018, GO:0003723, GO:0005515, GO:0017148, GO:0044877, GO:0045739, GO:0045738, GO:0006413, GO:0003684, GO:0003729"
SAE1,NABP2,405,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005737, GO:0008022, GO:0043008, GO:0044388, GO:0046982, GO:0005634, GO:0031510, GO:1903955, GO:0005654, GO:0016567, GO:0004839, GO:0008047, GO:0005515, GO:0016925, GO:0043085, GO:0019948","GO:0006974, GO:0070182, GO:0070200, GO:0010212, GO:0005829, GO:0000724, GO:1904355, GO:0005634, GO:0006281, GO:0061730, GO:0051972, GO:0005654, GO:0000784, GO:0005515, GO:0042795, GO:0098505, GO:0003697, GO:0070876, GO:0007093"
CCDC14,INTS3,421,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005813, GO:0034451, GO:0021762, GO:0005515, GO:0071539","GO:0005737, GO:0006974, GO:0010212, GO:0006281, GO:0005634, GO:0005730, GO:0032039, GO:0005654, GO:0005515, GO:0016180, GO:0042795, GO:0070876, GO:0007093"
SET,NPM1,423,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0042393, GO:0032515, GO:0005783, GO:0035067, GO:0043524, GO:0003677, GO:0005737, GO:0043488, GO:0005634, GO:0005811, GO:0005654, GO:0006260, GO:0048471, GO:0005515, GO:0019888, GO:0004864, GO:0032991, GO:0006337, GO:0006334, GO:0016032, GO:0045892, GO:0005829","GO:0034080, GO:0008104, GO:0042393, GO:0005829, GO:0033613, GO:0042255, GO:0044387, GO:1902629, GO:0030957, GO:0010824, GO:0010826, GO:0007165, GO:0034644, GO:0031616, GO:0005925, GO:0046599, GO:0005737, GO:0000056, GO:0006407, GO:0005730, GO:0005813, GO:0005634, GO:0016020, GO:0003713, GO:0051082, GO:0030529, GO:0005654, GO:1902751, GO:0043066, GO:0045944, GO:0043023, GO:0045727, GO:0043024, GO:0042803, GO:0008284, GO:0008285, GO:0016032, GO:0006281, GO:0060699, GO:0008134, GO:0032071, GO:0006913, GO:0051059, GO:0004860, GO:0045893, GO:0001047, GO:0051092, GO:0051259, GO:0019901, GO:0000055, GO:0003682, GO:0032991, GO:0007569, GO:0032993, GO:0006334, GO:0042274, GO:1990904, GO:0042273, GO:0006974, GO:0006357, GO:0007098, GO:0003723, GO:0005515, GO:0046982, GO:0060735, GO:0006886, GO:0006338"
ZNF133,COPS7B,441,,exp,coexpression,14,,xxxxxx,xxxxxx,"GO:0043565, GO:0003700, GO:0005634, GO:0006357, GO:0006351, GO:0005515, GO:0003677, GO:0046872, GO:0000981","GO:0006974, GO:0006283, GO:0006281, GO:0000338, GO:0005829, GO:0000715, GO:0005654, GO:0005515, GO:0043687, GO:0008180"
ATP5MC1,RBX1,448,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0045263, GO:0000276, GO:0015991, GO:0005215, GO:0016021, GO:0046933, GO:0008289, GO:0005739, GO:0005743, GO:0005753, GO:0015986, GO:0005515, GO:0042407, GO:0006754","GO:0006294, GO:0006296, GO:0032436, GO:0070911, GO:0006293, GO:0042769, GO:0008270, GO:0070498, GO:0031461, GO:0061418, GO:0000209, GO:0043224, GO:0045116, GO:0080008, GO:0016567, GO:0031464, GO:0005634, GO:0006281, GO:0000165, GO:0033683, GO:0019788, GO:0005654, GO:0042787, GO:0043687, GO:0090090, GO:0034450, GO:0006283, GO:0030891, GO:0008134, GO:0061630, GO:0031146, GO:0006974, GO:0010972, GO:0016032, GO:0031462, GO:0031463, GO:0004842, GO:0031465, GO:0031466, GO:0031467, GO:0031625, GO:0097602, GO:0010265, GO:0005829, GO:0016055, GO:0000715, GO:0006513, GO:0019005, GO:0005515, GO:0043161, GO:0044877"
RBM5,NEIL1,474,,exp,coexpression,14,,xxxxxx,xxxxxx,"GO:0008285, GO:0000381, GO:0000245, GO:0006396, GO:0005634, GO:0006915, GO:0000398, GO:0005654, GO:0043065, GO:0003723, GO:0005515, GO:0003677, GO:0046872, GO:0005681, GO:0003729","GO:0005737, GO:0005654, GO:0006284, GO:0016798, GO:0006281, GO:0140078, GO:0005634, GO:0045008, GO:0008022, GO:0032074, GO:0005815, GO:0003906, GO:0006974, GO:0008270, GO:0006979, GO:0006289, GO:0005694, GO:0003684, GO:0019104"
INTS3,ZNF862,496,,exp,coexpression,15,,xxxxxx,xxxxxx,"GO:0005737, GO:0006974, GO:0010212, GO:0006281, GO:0005634, GO:0005730, GO:0032039, GO:0005654, GO:0005515, GO:0016180, GO:0042795, GO:0070876, GO:0007093","GO:0005634, GO:0005575, GO:0006355, GO:0003674, GO:0006351, GO:0003676, GO:0008150, GO:0046983, GO:0046872"
DDX1,ATP5F1A,512,,exp,coexpression,12,,xxxxxx,xxxxxx,"GO:0072669, GO:0033677, GO:0000245, GO:0008026, GO:0008143, GO:0090305, GO:0003677, GO:0007275, GO:0005737, GO:0071920, GO:0006302, GO:0009615, GO:0004527, GO:0016020, GO:0003712, GO:0005654, GO:0006388, GO:0032508, GO:0005524, GO:0003723, GO:0006281, GO:0043330, GO:0006446, GO:0006974, GO:1903608, GO:0010494, GO:0004518, GO:0005829, GO:1990904, GO:0006355, GO:0003724, GO:0003725, GO:0006351, GO:0005515, GO:0003682, GO:0005634","GO:0016887, GO:0042407, GO:0008180, GO:0045261, GO:0070062, GO:0046933, GO:0043209, GO:0016020, GO:0005739, GO:0099132, GO:0005753, GO:0005759, GO:0005524, GO:0006629, GO:0042288, GO:0043536, GO:0043532, GO:0005886, GO:0042776, GO:0045259, GO:0005743, GO:0022857, GO:0003723, GO:0005515, GO:0006754, GO:0001937"
POLR2L,NEDD8-MDP1,526,,exp,coexpression,13,,xxxxxx,xxxxxx,"GO:0001055, GO:0001056, GO:0008270, GO:0001054, GO:0003677, GO:0008543, GO:0005654, GO:0005634, GO:0006281, GO:0006370, GO:0006361, GO:0006363, GO:0006367, GO:0006366, GO:0006368, GO:0045815, GO:0006383, GO:0006283, GO:0005736, GO:0006974, GO:0060964, GO:0003899, GO:0016070, GO:0005829, GO:0000428, GO:0000398, GO:0006356, GO:0005665, GO:0005515, GO:0005666, GO:0042795","GO:0016311, GO:0016791"
ZNF248,TP53BP1,596,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0043565, GO:0003700, GO:0005634, GO:0006357, GO:0006351, GO:0003677, GO:0046872, GO:0000981","GO:0042393, GO:0035064, GO:0071481, GO:0000781, GO:0000784, GO:0061649, GO:0005737, GO:0045830, GO:0016604, GO:0006303, GO:0005634, GO:0051260, GO:0003712, GO:0005654, GO:0005657, GO:0006281, GO:0042162, GO:2000042, GO:0006974, GO:0045893, GO:0001102, GO:0000777, GO:0051091, GO:0000077, GO:1990391, GO:0035861, GO:0045944, GO:0006351, GO:0005515, GO:0002039, GO:0003684"
PSMD14,TIMM23,598,,exp,coexpression,17,,xxxxxx,xxxxxx,"GO:0022624, GO:0061578, GO:1904813, GO:0031597, GO:0000502, GO:0008541, GO:0006303, GO:0070628, GO:0000724, GO:0043161, GO:0005634, GO:0004843, GO:0005654, GO:0006511, GO:0008237, GO:0046872, GO:0016579, GO:0070536, GO:0006281, GO:0061136, GO:0043687, GO:0061133, GO:0006974, GO:0045471, GO:0034774, GO:0010950, GO:0036459, GO:0005829, GO:0043312, GO:0005576, GO:0005515","GO:0015450, GO:0005744, GO:0006626, GO:0005739, GO:0030150, GO:0031305, GO:0005743, GO:0005515, GO:0005758"
PRPF19,PA2G4,610,,exp,coexpression,12,,xxxxxx,xxxxxx,"GO:0005811, GO:0000244, GO:0000245, GO:0048711, GO:0071006, GO:0071007, GO:0000349, GO:0048026, GO:0000209, GO:0006283, GO:0005737, GO:0045665, GO:0005819, GO:0006303, GO:0072422, GO:0004842, GO:0005634, GO:0016020, GO:0005654, GO:0070534, GO:0042802, GO:0016607, GO:0034450, GO:0000974, GO:0006281, GO:0071013, GO:0034613, GO:0006974, GO:0061630, GO:0008610, GO:0035861, GO:0001833, GO:0010498, GO:0000398, GO:0005662, GO:0005515","GO:0035578, GO:0003677, GO:0005737, GO:0070062, GO:0005730, GO:0005634, GO:0016020, GO:0043066, GO:0006364, GO:0006351, GO:0008283, GO:0045597, GO:0045892, GO:0007050, GO:0031625, GO:0003700, GO:0000055, GO:0043312, GO:0005576, GO:0003723, GO:0005515, GO:0006417"
