symbol1,symbol2,Unnamed: 0,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
HNRNPA1P48,NPM1,38,,exp,coexpression,11,,xxxxxx,xxxxxx,,"GO:0034080, GO:0008104, GO:0042393, GO:0005829, GO:0033613, GO:0042255, GO:0044387, GO:1902629, GO:0030957, GO:0010824, GO:0010826, GO:0007165, GO:0034644, GO:0031616, GO:0005925, GO:0046599, GO:0005737, GO:0000056, GO:0006407, GO:0005730, GO:0005813, GO:0005634, GO:0016020, GO:0003713, GO:0051082, GO:0030529, GO:0005654, GO:1902751, GO:0043066, GO:0045944, GO:0043023, GO:0045727, GO:0043024, GO:0042803, GO:0008284, GO:0008285, GO:0016032, GO:0006281, GO:0060699, GO:0008134, GO:0032071, GO:0006913, GO:0051059, GO:0004860, GO:0045893, GO:0001047, GO:0051092, GO:0051259, GO:0019901, GO:0000055, GO:0003682, GO:0032991, GO:0007569, GO:0032993, GO:0006334, GO:0042274, GO:1990904, GO:0042273, GO:0006974, GO:0006357, GO:0007098, GO:0003723, GO:0005515, GO:0046982, GO:0060735, GO:0006886, GO:0006338"
ARMC6,PSMD14,64,,exp,coexpression,12,,xxxxxx,xxxxxx,"GO:0005829, GO:0002244","GO:0022624, GO:0061578, GO:1904813, GO:0031597, GO:0000502, GO:0008541, GO:0006303, GO:0070628, GO:0000724, GO:0043161, GO:0005634, GO:0004843, GO:0005654, GO:0006511, GO:0008237, GO:0046872, GO:0016579, GO:0070536, GO:0006281, GO:0061136, GO:0043687, GO:0061133, GO:0006974, GO:0045471, GO:0034774, GO:0010950, GO:0036459, GO:0005829, GO:0043312, GO:0005576, GO:0005515"
ERCC3,ZNF84,67,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0006294, GO:0008022, GO:0006296, GO:0070911, GO:0006293, GO:0001113, GO:0048568, GO:0001111, GO:0000439, GO:0008104, GO:1901990, GO:0016887, GO:0003677, GO:0009650, GO:0008353, GO:0001666, GO:0035315, GO:0005654, GO:0015616, GO:0070816, GO:0005634, GO:0033683, GO:0006361, GO:0006265, GO:0006363, GO:0006367, GO:0005675, GO:0006368, GO:0004672, GO:0008094, GO:0097550, GO:0005524, GO:0006468, GO:0006915, GO:0006283, GO:0006281, GO:0004003, GO:0008134, GO:0006366, GO:0006289, GO:0006974, GO:0010525, GO:0016032, GO:0000112, GO:0004386, GO:0006979, GO:0043065, GO:0047485, GO:0000019, GO:0000717, GO:0006370, GO:0009411, GO:0045944, GO:0005515, GO:0005669, GO:1903025, GO:0043138, GO:0003684","GO:0005634, GO:0006357, GO:0008270, GO:0003677, GO:0000981, GO:0006351"
RBX1,PSMB1,84,,exp,coexpression,12,,xxxxxx,xxxxxx,"GO:0006294, GO:0006296, GO:0032436, GO:0070911, GO:0006293, GO:0042769, GO:0008270, GO:0070498, GO:0031461, GO:0061418, GO:0000209, GO:0043224, GO:0045116, GO:0080008, GO:0016567, GO:0031464, GO:0005634, GO:0006281, GO:0000165, GO:0033683, GO:0019788, GO:0005654, GO:0042787, GO:0043687, GO:0090090, GO:0034450, GO:0006283, GO:0030891, GO:0008134, GO:0061630, GO:0031146, GO:0006974, GO:0010972, GO:0016032, GO:0031462, GO:0031463, GO:0004842, GO:0031465, GO:0031466, GO:0031467, GO:0031625, GO:0097602, GO:0010265, GO:0005829, GO:0016055, GO:0000715, GO:0006513, GO:0019005, GO:0005515, GO:0043161, GO:0044877","GO:0004175, GO:0019774, GO:0010499, GO:1904813, GO:0005737, GO:0005839, GO:0043161, GO:0005634, GO:0005654, GO:0016579, GO:0005515, GO:0043687, GO:0034774, GO:0000502, GO:0070062, GO:0051603, GO:0005829, GO:0010498, GO:0043312, GO:0004298, GO:0005576, GO:0016032"
MARF1,ZC3H6,87,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005794, GO:0016020, GO:0006302, GO:0006281, GO:0010923, GO:0005777, GO:0010468, GO:0006974, GO:0003674, GO:0003723, GO:0048477, GO:0007143, GO:0043231","GO:0003700, GO:0005634, GO:0001162, GO:0005575, GO:0006357, GO:0008150, GO:0045892, GO:0003674, GO:0046872, GO:0000981"
PPP1R3E,NEIL1,102,,exp,coexpression,10,,xxxxxx,xxxxxx,GO:0005977,"GO:0005737, GO:0005654, GO:0006284, GO:0016798, GO:0006281, GO:0140078, GO:0005634, GO:0045008, GO:0008022, GO:0032074, GO:0005815, GO:0003906, GO:0006974, GO:0008270, GO:0006979, GO:0006289, GO:0005694, GO:0003684, GO:0019104"
FARSA,ACTL6A,105,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005737, GO:0004826, GO:0000049, GO:0006432, GO:0009328, GO:0005829, GO:0016020, GO:0051290, GO:0003723, GO:0005515, GO:0005524","GO:0031011, GO:0021510, GO:0031492, GO:0035267, GO:0000980, GO:0005634, GO:0043044, GO:0003713, GO:0005654, GO:0043967, GO:0016514, GO:0016579, GO:0071564, GO:1903508, GO:0006281, GO:0043968, GO:0006974, GO:0000790, GO:0005886, GO:0006310, GO:0032991, GO:0006338, GO:0006357, GO:0003407, GO:0006351, GO:0005515, GO:0000978, GO:0003682, GO:0040008, GO:0007165"
NEIL1,CCDC84,177,,exp,coexpression,14,,xxxxxx,xxxxxx,"GO:0005737, GO:0005654, GO:0006284, GO:0016798, GO:0006281, GO:0140078, GO:0005634, GO:0045008, GO:0008022, GO:0032074, GO:0005815, GO:0003906, GO:0006974, GO:0008270, GO:0006979, GO:0006289, GO:0005694, GO:0003684, GO:0019104",
MOCS2,GTF2H5,190,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0016607, GO:0006777, GO:0005634, GO:0030366, GO:0032324, GO:0019008, GO:0005829","GO:0006294, GO:0006296, GO:0000182, GO:0006293, GO:0000439, GO:0070911, GO:0006361, GO:0071480, GO:0005730, GO:0033683, GO:0005654, GO:0006363, GO:0006362, GO:0006364, GO:0006367, GO:0006366, GO:0006368, GO:0006283, GO:0006281, GO:0006289, GO:0006974, GO:0006355, GO:0006370, GO:0005515, GO:0005669"
ATXN3,ZNF506,215,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:1904294, GO:0034605, GO:0005886, GO:0030036, GO:0061578, GO:1904379, GO:0000226, GO:0042405, GO:0005737, GO:0005730, GO:0005789, GO:0043161, GO:0005634, GO:0036459, GO:0005654, GO:0071218, GO:0005759, GO:0016363, GO:0016579, GO:0070536, GO:0071108, GO:0006281, GO:0010810, GO:0051117, GO:0006289, GO:0006974, GO:0035520, GO:0007268, GO:0031966, GO:0004843, GO:0031625, GO:0007399, GO:0045104, GO:0005829, GO:0006355, GO:0006511, GO:0006351, GO:0005515, GO:0006515, GO:1990380","GO:0005730, GO:0006357, GO:0006351, GO:0003677, GO:0046872, GO:0000981"
