,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
69,,exp,coexpression,10,,CCDC14,KAT2A,xxxxxx,xxxxxx
70,,exp,coexpression,11,,ARHGAP30,PTPRC,xxxxxx,xxxxxx
71,,exp,coexpression,11,,CD3E,CD2,xxxxxx,xxxxxx
72,,exp,coexpression,10,,UBA7,EIF2S1,xxxxxx,xxxxxx
73,,exp,coexpression,17,,RPL28,RPSA,xxxxxx,xxxxxx
74,,exp,coexpression,10,,IMP4,NCBP2,xxxxxx,xxxxxx
75,,exp,coexpression,13,,EIF5AL1,GARS,xxxxxx,xxxxxx
76,,exp,coexpression,12,,DPP3,NLN,xxxxxx,xxxxxx
77,,exp,coexpression,10,,ACO2,LDHB,xxxxxx,xxxxxx
78,,exp,coexpression,10,,NR2C2,NKTR,xxxxxx,xxxxxx
79,,exp,coexpression,12,,ZBTB3,PARS2,xxxxxx,xxxxxx
80,,exp,coexpression,10,,ZNF251,POGZ,xxxxxx,xxxxxx
81,,exp,coexpression,10,,DNAJB11,KPNA2,xxxxxx,xxxxxx
82,,exp,coexpression,10,,YRDC,PSMD12,xxxxxx,xxxxxx
83,,exp,coexpression,11,,NOP58,PPAN-P2RY11,xxxxxx,xxxxxx
84,,exp,coexpression,12,,RBX1,PSMB1,xxxxxx,xxxxxx
85,,exp,coexpression,17,,ATP5PD,COX5B,xxxxxx,xxxxxx
86,,exp,coexpression,10,,CDH5,PRR29,xxxxxx,xxxxxx
87,,exp,coexpression,10,,MARF1,ZC3H6,xxxxxx,xxxxxx
88,,exp,coexpression,10,,PRPF39,UQCC1,xxxxxx,xxxxxx
89,,exp,coexpression,14,,FCER1G,HAVCR2,xxxxxx,xxxxxx
90,,exp,coexpression,10,,TATDN1,MRPL47,xxxxxx,xxxxxx
91,,exp,coexpression,12,,ATP5PD,MDH1,xxxxxx,xxxxxx
92,,exp,coexpression,10,,RPS12,TPT1,xxxxxx,xxxxxx
93,,exp,coexpression,14,,MOCS3,MAD2L1BP,xxxxxx,xxxxxx
94,,exp,coexpression,10,,WDR59,TRMT10B,xxxxxx,xxxxxx
95,,exp,coexpression,13,,PA2G4,SNRPE,xxxxxx,xxxxxx
96,,exp,coexpression,16,,RPS10-NUDT3,ZNF90,xxxxxx,xxxxxx
97,,exp,coexpression,12,,ZNF224,RBM33,xxxxxx,xxxxxx
98,,exp,coexpression,13,,DPP3,C1QBP,xxxxxx,xxxxxx
99,,exp,coexpression,11,,SSR1,MYDGF,xxxxxx,xxxxxx
100,,exp,coexpression,10,,NDUFC2-KCTD14,MMADHC,xxxxxx,xxxxxx
101,,exp,coexpression,10,,COL6A3,LRP1,xxxxxx,xxxxxx
102,,exp,coexpression,10,,PPP1R3E,NEIL1,xxxxxx,xxxxxx
103,,exp,coexpression,18,,RPL32,RPL11,xxxxxx,xxxxxx
104,,exp,coexpression,10,,ATP5MPL,NDUFS3,xxxxxx,xxxxxx
105,,exp,coexpression,10,,FARSA,ACTL6A,xxxxxx,xxxxxx
106,,exp,coexpression,11,,PCNP,CNBP,xxxxxx,xxxxxx
107,,exp,coexpression,11,,L3MBTL1,ZBTB37,xxxxxx,xxxxxx
108,,exp,coexpression,11,,PIK3R5,C1QB,xxxxxx,xxxxxx
109,,exp,coexpression,10,,MRPS12,COX8A,xxxxxx,xxxxxx
110,,exp,coexpression,11,,WDCP,ZSWIM3,xxxxxx,xxxxxx
111,,exp,coexpression,11,,CYTIP,CXCR4,xxxxxx,xxxxxx
112,,exp,coexpression,13,,ZNF692,FAM193B,xxxxxx,xxxxxx
113,,exp,coexpression,12,,HSD17B8,HINT2,xxxxxx,xxxxxx
114,,exp,coexpression,13,,RPS15A,EEF1B2,xxxxxx,xxxxxx
115,,exp,coexpression,13,,ARGLU1,POGZ,xxxxxx,xxxxxx
116,,exp,coexpression,10,,NDUFAB1,GTF3C6,xxxxxx,xxxxxx
117,,exp,coexpression,11,,RNF181,SLIRP,xxxxxx,xxxxxx
118,,exp,coexpression,10,,UTP11,PSMB3,xxxxxx,xxxxxx
119,,exp,coexpression,10,,PTPRC,FCGR2A,xxxxxx,xxxxxx
120,,exp,coexpression,17,,SRSF5,ARGLU1,xxxxxx,xxxxxx
121,,exp,coexpression,15,,TTC14,FAM156B,xxxxxx,xxxxxx
122,,exp,coexpression,11,,CCDC14,DDX17,xxxxxx,xxxxxx
123,,exp,coexpression,10,,CCT2,DPH2,xxxxxx,xxxxxx
124,,exp,coexpression,12,,PSMB6,ANAPC11,xxxxxx,xxxxxx
125,,exp,coexpression,12,,UTP25,WDR3,xxxxxx,xxxxxx
126,,exp,coexpression,15,,DDX28,MAD2L1BP,xxxxxx,xxxxxx
127,,exp,coexpression,12,,MPHOSPH8,PAN2,xxxxxx,xxxxxx
128,,exp,coexpression,11,,TRMT6,UTP14A,xxxxxx,xxxxxx
129,,exp,coexpression,11,,RPF2,SNRPD1,xxxxxx,xxxxxx
130,,exp,coexpression,12,,ATP5MG,NDUFB11,xxxxxx,xxxxxx
131,,exp,coexpression,19,,PCDHGA2,PCDHGC5,xxxxxx,xxxxxx
132,,exp,coexpression,14,,ROMO1,SLIRP,xxxxxx,xxxxxx
133,,exp,coexpression,19,,PCDHGB7,PCDHGC4,xxxxxx,xxxxxx
134,,exp,coexpression,11,,CLP1,CLK3,xxxxxx,xxxxxx
135,,exp,coexpression,10,,LSM1,VBP1,xxxxxx,xxxxxx
136,,exp,coexpression,10,,COA7,FARSA,xxxxxx,xxxxxx
137,,exp,coexpression,12,,N4BP2L2,MZF1,xxxxxx,xxxxxx
138,,exp,coexpression,10,,AK6,NUMA1,xxxxxx,xxxxxx
139,,exp,coexpression,13,,ATP5ME,NDUFA13,xxxxxx,xxxxxx
140,,exp,coexpression,10,,EIF5AL1,ABTB1,xxxxxx,xxxxxx
141,,exp,coexpression,10,,PNISR,ZBTB37,xxxxxx,xxxxxx
142,,exp,coexpression,10,,METTL2A,PSMA5,xxxxxx,xxxxxx
143,,exp,coexpression,14,,CCNL2,LENG8,xxxxxx,xxxxxx
144,,exp,coexpression,12,,EXOSC10,ATP6V1G2-DDX39B,xxxxxx,xxxxxx
145,,exp,coexpression,11,,TXNL4A,SNRPD1,xxxxxx,xxxxxx
146,,exp,coexpression,12,,RPL8,BTF3,xxxxxx,xxxxxx
147,,exp,coexpression,10,,GTPBP4,SURF4,xxxxxx,xxxxxx
148,,exp,coexpression,10,,CARF,AMT,xxxxxx,xxxxxx
149,,exp,coexpression,10,,CISD1,NDUFAF2,xxxxxx,xxxxxx
150,,exp,coexpression,11,,ZNF83,PRPF3,xxxxxx,xxxxxx
151,,exp,coexpression,14,,EIF2B5,DDX39B,xxxxxx,xxxxxx
152,,exp,coexpression,12,,PRPF39,PABPN1,xxxxxx,xxxxxx
153,,exp,coexpression,12,,POLR1C,QTRT2,xxxxxx,xxxxxx
154,,exp,coexpression,16,,RPL5,EIF3E,xxxxxx,xxxxxx
155,,exp,coexpression,10,,NDUFA12,ATP5F1C,xxxxxx,xxxxxx
156,,exp,coexpression,11,,RPS12,RPL39,xxxxxx,xxxxxx
157,,exp,coexpression,16,,RPL5,RACK1,xxxxxx,xxxxxx
158,,exp,coexpression,16,,ATP5MF,COX8A,xxxxxx,xxxxxx
159,,exp,coexpression,13,,PRPF3,FAM156A,xxxxxx,xxxxxx
160,,exp,coexpression,11,,ZNF133,WDR59,xxxxxx,xxxxxx
161,,exp,coexpression,10,,PNISR,ZNF493,xxxxxx,xxxxxx
162,,exp,coexpression,10,,POLR3K,MRPS23,xxxxxx,xxxxxx
163,,exp,coexpression,11,,MRPS35,PAICS,xxxxxx,xxxxxx
164,,exp,coexpression,16,,RPL34,RPL13,xxxxxx,xxxxxx
165,,exp,coexpression,11,,PRPF39,ZNF84,xxxxxx,xxxxxx
166,,exp,coexpression,12,,PDF,HPS6,xxxxxx,xxxxxx
167,,exp,coexpression,10,,AGAP6,CEP95,xxxxxx,xxxxxx
168,,exp,coexpression,13,,PSMA3,PSMB3,xxxxxx,xxxxxx
169,,exp,coexpression,12,,RAN,STOML2,xxxxxx,xxxxxx
170,,exp,coexpression,11,,GBP2,CLEC2B,xxxxxx,xxxxxx
171,,exp,coexpression,12,,ZNF26,RBM25,xxxxxx,xxxxxx
172,,exp,coexpression,12,,DDX17,TNRC6A,xxxxxx,xxxxxx
173,,exp,coexpression,12,,TRIM33,XRN1,xxxxxx,xxxxxx
174,,exp,coexpression,11,,GON7,TMEM251,xxxxxx,xxxxxx
175,,exp,coexpression,10,,NACA2,TIMM9,xxxxxx,xxxxxx
176,,exp,coexpression,10,,AURKAIP1,POP7,xxxxxx,xxxxxx
177,,exp,coexpression,14,,NEIL1,CCDC84,xxxxxx,xxxxxx
178,,exp,coexpression,11,,FYB1,NCF4,xxxxxx,xxxxxx
179,,exp,coexpression,10,,EFEMP2,FSTL1,xxxxxx,xxxxxx
180,,exp,coexpression,14,,CLP1,CHAMP1,xxxxxx,xxxxxx
181,,exp,coexpression,11,,NDUFS8,COX8A,xxxxxx,xxxxxx
182,,exp,coexpression,10,,MARS2,UTP15,xxxxxx,xxxxxx
183,,exp,coexpression,10,,CDK10,STX16,xxxxxx,xxxxxx
184,,exp,coexpression,14,,RRP9,DDX21,xxxxxx,xxxxxx
185,,exp,coexpression,12,,SNRPF,MRPL52,xxxxxx,xxxxxx
186,,exp,coexpression,10,,ERP44,ARF4,xxxxxx,xxxxxx
187,,exp,coexpression,11,,SSBP1,TIMM17A,xxxxxx,xxxxxx
188,,exp,coexpression,19,,RPL27A,RPS17,xxxxxx,xxxxxx
189,,exp,coexpression,11,,PIK3R5,MSR1,xxxxxx,xxxxxx
190,,exp,coexpression,10,,MOCS2,GTF2H5,xxxxxx,xxxxxx
191,,exp,coexpression,13,,TIMM23,COX5A,xxxxxx,xxxxxx
192,,exp,coexpression,12,,SCFD2,DPP3,xxxxxx,xxxxxx
193,,exp,coexpression,13,,CHCHD2,NDUFA4,xxxxxx,xxxxxx
194,,exp,coexpression,10,,HNRNPAB,CYCS,xxxxxx,xxxxxx
195,,exp,coexpression,10,,GHITM,EGFL8,xxxxxx,xxxxxx
196,,exp,coexpression,13,,KLHL41,TNNC2,xxxxxx,xxxxxx
197,,exp,coexpression,17,,CTRB2,CTRB1,xxxxxx,xxxxxx
198,,exp,coexpression,14,,RPLP2,RPS24,xxxxxx,xxxxxx
199,,exp,coexpression,11,,TUBB4B,KPNA2,xxxxxx,xxxxxx
200,,exp,coexpression,15,,ALOX5AP,FCGR2A,xxxxxx,xxxxxx
201,,exp,coexpression,10,,ACO2,SLC25A4,xxxxxx,xxxxxx
202,,exp,coexpression,14,,RPS18,RPS10,xxxxxx,xxxxxx
203,,exp,coexpression,10,,HEPH,ANTXR1,xxxxxx,xxxxxx
204,,exp,coexpression,12,,RPSA,RPS20,xxxxxx,xxxxxx
205,,exp,coexpression,11,,PNO1,PSME3,xxxxxx,xxxxxx
206,,exp,coexpression,10,,PPIA,SNRPD1,xxxxxx,xxxxxx
207,,exp,coexpression,10,,URB2,C16orf91,xxxxxx,xxxxxx
208,,exp,coexpression,13,,AP1G2,THTPA,xxxxxx,xxxxxx
209,,exp,coexpression,10,,TIAL1,TRIM52,xxxxxx,xxxxxx
210,,exp,coexpression,13,,MT1E,MT1X,xxxxxx,xxxxxx
211,,exp,coexpression,13,,SNRPF,SLIRP,xxxxxx,xxxxxx
212,,exp,coexpression,13,,DMAC1,COX7C,xxxxxx,xxxxxx
213,,exp,coexpression,12,,RRS1,EIF3I,xxxxxx,xxxxxx
214,,exp,coexpression,12,,MPHOSPH8,STX16,xxxxxx,xxxxxx
215,,exp,coexpression,10,,ATXN3,ZNF506,xxxxxx,xxxxxx
216,,exp,coexpression,12,,NDUFB9,NDUFA9,xxxxxx,xxxxxx
217,,exp,coexpression,10,,PSMD14,NOL10,xxxxxx,xxxxxx
218,,exp,coexpression,10,,RBM12B,MED28,xxxxxx,xxxxxx
219,,exp,coexpression,12,,CYBB,CD14,xxxxxx,xxxxxx
220,,exp,coexpression,10,,TIMM9,EIF3G,xxxxxx,xxxxxx
221,,exp,coexpression,11,,NKTR,RNPC3,xxxxxx,xxxxxx
222,,exp,coexpression,10,,PRKAR2A,MTCH2,xxxxxx,xxxxxx
223,,exp,coexpression,12,,WDR46,PSMA5,xxxxxx,xxxxxx
224,,exp,coexpression,10,,KIAA1328,CHIC1,xxxxxx,xxxxxx
225,,exp,coexpression,10,,NEDD8,NDUFA1,xxxxxx,xxxxxx
226,,exp,coexpression,12,,PA2G4,PSME3,xxxxxx,xxxxxx
227,,exp,coexpression,11,,PSMC3,AIMP2,xxxxxx,xxxxxx
228,,exp,coexpression,10,,PINX1,CCDC86,xxxxxx,xxxxxx
229,,exp,coexpression,11,,RPL10A,RPS9,xxxxxx,xxxxxx
230,,exp,coexpression,10,,CCDC30,ZNF780B,xxxxxx,xxxxxx
231,,exp,coexpression,13,,MRPS35,MRPS7,xxxxxx,xxxxxx
232,,exp,coexpression,10,,GORASP2,PSMA5,xxxxxx,xxxxxx
233,,exp,coexpression,16,,RPL34,RPS17,xxxxxx,xxxxxx
234,,exp,coexpression,10,,WBP1,AMY2B,xxxxxx,xxxxxx
235,,exp,coexpression,10,,TMEM219,DGCR6L,xxxxxx,xxxxxx
236,,exp,coexpression,11,,PLA2G6,CFAP70,xxxxxx,xxxxxx
237,,exp,coexpression,10,,GART,C1QBP,xxxxxx,xxxxxx
238,,exp,coexpression,12,,THOC1,CSAD,xxxxxx,xxxxxx
239,,exp,coexpression,13,,RPS23,FAU,xxxxxx,xxxxxx
240,,exp,coexpression,13,,PFN1,CAP1,xxxxxx,xxxxxx
241,,exp,coexpression,10,,KAT2A,MZF1,xxxxxx,xxxxxx
242,,exp,coexpression,12,,OGFOD1,ABCF2,xxxxxx,xxxxxx
243,,exp,coexpression,11,,MSN,GNAI2,xxxxxx,xxxxxx
244,,exp,coexpression,11,,GBP5,CCL5,xxxxxx,xxxxxx
245,,exp,coexpression,11,,CHCHD1,NDUFA8,xxxxxx,xxxxxx
246,,exp,coexpression,10,,SPEF2,KPNA2,xxxxxx,xxxxxx
247,,exp,coexpression,16,,CPSF6,KHDC4,xxxxxx,xxxxxx
248,,exp,coexpression,11,,PNISR,SH2B1,xxxxxx,xxxxxx
249,,exp,coexpression,12,,TRUB2,PPP1CA,xxxxxx,xxxxxx
250,,exp,coexpression,11,,THOC7,PFDN4,xxxxxx,xxxxxx
251,,exp,coexpression,10,,COX7C,MZT2B,xxxxxx,xxxxxx
252,,exp,coexpression,10,,YIPF5,VTA1,xxxxxx,xxxxxx
253,,exp,coexpression,11,,NDUFA2,NAA38,xxxxxx,xxxxxx
254,,exp,coexpression,13,,SPI1,NCKAP1L,xxxxxx,xxxxxx
255,,exp,coexpression,11,,GATAD1,SUN1,xxxxxx,xxxxxx
256,,exp,coexpression,12,,PLXND1,CDH5,xxxxxx,xxxxxx
257,,exp,coexpression,10,,PLA2G4B,ZSCAN18,xxxxxx,xxxxxx
258,,exp,coexpression,11,,IDI1,ACAT2,xxxxxx,xxxxxx
259,,exp,coexpression,10,,ST6GALNAC4,SRM,xxxxxx,xxxxxx
260,,exp,coexpression,10,,EIF4G1,RRP15,xxxxxx,xxxxxx
261,,exp,coexpression,14,,HNRNPAB,DDX21,xxxxxx,xxxxxx
262,,exp,coexpression,10,,FANCL,COPS7B,xxxxxx,xxxxxx
263,,exp,coexpression,12,,PNISR,SEC31B,xxxxxx,xxxxxx
264,,exp,coexpression,13,,EIF4A1,NOP14,xxxxxx,xxxxxx
265,,exp,coexpression,13,,POGZ,SUN1,xxxxxx,xxxxxx
266,,exp,coexpression,11,,TRIM74,TRIM73,xxxxxx,xxxxxx
267,,exp,coexpression,13,,COX7A2,SUCLG1,xxxxxx,xxxxxx
268,,exp,coexpression,19,,PCDHGA10,PCDHGA6,xxxxxx,xxxxxx
269,,exp,coexpression,10,,DCAF13,COPB2,xxxxxx,xxxxxx
270,,exp,coexpression,14,,IRAK1,DPP3,xxxxxx,xxxxxx
271,,exp,coexpression,15,,FAN1,PAN2,xxxxxx,xxxxxx
272,,exp,coexpression,11,,PARP6,ACTR2,xxxxxx,xxxxxx
273,,exp,coexpression,13,,C1QB,TFEC,xxxxxx,xxxxxx
274,,exp,coexpression,10,,CTU2,EIF2S2,xxxxxx,xxxxxx
275,,exp,coexpression,12,,ABCF2,NOP14,xxxxxx,xxxxxx
276,,exp,coexpression,14,,MPEG1,IL10RA,xxxxxx,xxxxxx
277,,exp,coexpression,11,,POGZ,RPN1,xxxxxx,xxxxxx
278,,exp,coexpression,12,,MRPL36,ANAPC11,xxxxxx,xxxxxx
279,,exp,coexpression,15,,HMGCS1,CYP51A1,xxxxxx,xxxxxx
280,,exp,coexpression,17,,RPS5,RPS3,xxxxxx,xxxxxx
281,,exp,coexpression,10,,RPF1,TOMM22,xxxxxx,xxxxxx
282,,exp,coexpression,10,,PCDH18,ADGRA2,xxxxxx,xxxxxx
283,,exp,coexpression,15,,ZNF417,ZNF587,xxxxxx,xxxxxx
284,,exp,coexpression,12,,GTPBP4,SNRPD1,xxxxxx,xxxxxx
285,,exp,coexpression,12,,PCMTD2,WDR59,xxxxxx,xxxxxx
286,,exp,coexpression,10,,COX7A2,COX6C,xxxxxx,xxxxxx
287,,exp,coexpression,10,,NDUFS1,LACTB2,xxxxxx,xxxxxx
288,,exp,coexpression,14,,CYBB,C1QC,xxxxxx,xxxxxx
289,,exp,coexpression,10,,MXRA8,LRP1,xxxxxx,xxxxxx
290,,exp,coexpression,10,,KIRREL1,COL1A1,xxxxxx,xxxxxx
291,,exp,coexpression,11,,FEN1,MAD2L1BP,xxxxxx,xxxxxx
292,,exp,coexpression,13,,DPP3,MPDU1,xxxxxx,xxxxxx
293,,exp,coexpression,12,,SURF4,EIF5A,xxxxxx,xxxxxx
294,,exp,coexpression,11,,FH,PDHB,xxxxxx,xxxxxx
295,,exp,coexpression,10,,MRPL27,MTCH2,xxxxxx,xxxxxx
296,,exp,coexpression,11,,LAIR1,SLCO2B1,xxxxxx,xxxxxx
297,,exp,coexpression,18,,RPS27A,RPL41,xxxxxx,xxxxxx
298,,exp,coexpression,10,,ZNF248,ZFP62,xxxxxx,xxxxxx
299,,exp,coexpression,11,,C19orf53,POLR2I,xxxxxx,xxxxxx
300,,exp,coexpression,10,,ABCE1,BOP1,xxxxxx,xxxxxx
301,,exp,coexpression,11,,CLTC,SEC23B,xxxxxx,xxxxxx
302,,exp,coexpression,12,,PRPF39,EXOSC8,xxxxxx,xxxxxx
303,,exp,coexpression,12,,FBLN1,COL1A2,xxxxxx,xxxxxx
304,,exp,coexpression,10,,MRPS16,MRPL47,xxxxxx,xxxxxx
305,,exp,coexpression,11,,PCDHGB2,FKBP10,xxxxxx,xxxxxx
306,,exp,coexpression,15,,METTL1,MAK16,xxxxxx,xxxxxx
307,,exp,coexpression,13,,PLEK,FYB1,xxxxxx,xxxxxx
308,,exp,coexpression,11,,IRAK3,IL1R1,xxxxxx,xxxxxx
309,,exp,coexpression,10,,MYO1F,DOK3,xxxxxx,xxxxxx
310,,exp,coexpression,10,,SRFBP1,MCMBP,xxxxxx,xxxxxx
311,,exp,coexpression,12,,POGZ,CFAP70,xxxxxx,xxxxxx
312,,exp,coexpression,16,,WDR43,SEH1L,xxxxxx,xxxxxx
313,,exp,coexpression,10,,ZNF584,C16orf91,xxxxxx,xxxxxx
314,,exp,coexpression,17,,RPS4Y1,EIF1AY,xxxxxx,xxxxxx
315,,exp,coexpression,15,,UBA52,RPS23,xxxxxx,xxxxxx
316,,exp,coexpression,10,,SEPHS2,MFSD5,xxxxxx,xxxxxx
317,,exp,coexpression,12,,PPAN,VARS,xxxxxx,xxxxxx
318,,exp,coexpression,11,,NDUFAB1,SNRPD1,xxxxxx,xxxxxx
319,,exp,coexpression,10,,SERPINB8,WDR43,xxxxxx,xxxxxx
320,,exp,coexpression,11,,DECR1,ATP5PB,xxxxxx,xxxxxx
321,,exp,coexpression,10,,MIEF1,PIGW,xxxxxx,xxxxxx
322,,exp,coexpression,11,,UBA7,OSBPL7,xxxxxx,xxxxxx
323,,exp,coexpression,11,,ZBTB37,PHC3,xxxxxx,xxxxxx
324,,exp,coexpression,10,,RRS1,EIF2S2,xxxxxx,xxxxxx
325,,exp,coexpression,17,,COX7A2,COX7B,xxxxxx,xxxxxx
326,,exp,coexpression,10,,TOMM5,CHCHD1,xxxxxx,xxxxxx
327,,exp,coexpression,10,,AIMP2,RRP15,xxxxxx,xxxxxx
328,,exp,coexpression,10,,SEC24A,ARCN1,xxxxxx,xxxxxx
329,,exp,coexpression,11,,ZNF248,USP21,xxxxxx,xxxxxx
330,,exp,coexpression,10,,PSMD8,NSDHL,xxxxxx,xxxxxx
331,,exp,coexpression,10,,INTS11,TIAL1,xxxxxx,xxxxxx
332,,exp,coexpression,10,,LETM1,CIAPIN1,xxxxxx,xxxxxx
333,,exp,coexpression,10,,AP5B1,MSMP,xxxxxx,xxxxxx
334,,exp,coexpression,15,,MRPS6,SLC5A3,xxxxxx,xxxxxx
335,,exp,coexpression,12,,SNX22,SEC13,xxxxxx,xxxxxx
336,,exp,coexpression,13,,MYCT1,TIE1,xxxxxx,xxxxxx
337,,exp,coexpression,11,,GIGYF1,EME2,xxxxxx,xxxxxx
338,,exp,coexpression,10,,AP3B1,TM9SF1,xxxxxx,xxxxxx
339,,exp,coexpression,10,,FAM156A,ZRANB2,xxxxxx,xxxxxx
340,,exp,coexpression,10,,NHP2,MRPL47,xxxxxx,xxxxxx
341,,exp,coexpression,11,,ZNF622,PSMA5,xxxxxx,xxxxxx
342,,exp,coexpression,11,,RPS11,RPL28,xxxxxx,xxxxxx
343,,exp,coexpression,10,,CCDC47,EIF5AL1,xxxxxx,xxxxxx
344,,exp,coexpression,11,,CCDC80,BGN,xxxxxx,xxxxxx
345,,exp,coexpression,10,,ZNF780B,INO80E,xxxxxx,xxxxxx
346,,exp,coexpression,12,,MYO15B,PNISR,xxxxxx,xxxxxx
347,,exp,coexpression,14,,HKR1,ZNF506,xxxxxx,xxxxxx
348,,exp,coexpression,11,,CMTM3,GNAI2,xxxxxx,xxxxxx
