,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,12,,TMED2,MRPL3,xxxxxx,xxxxxx
1,,exp,coexpression,10,,BRIX1,CCT5,xxxxxx,xxxxxx
2,,exp,coexpression,11,,ATAD3A,DKC1,xxxxxx,xxxxxx
3,,exp,coexpression,14,,MYH2,ACTA1,xxxxxx,xxxxxx
4,,exp,coexpression,11,,THOC1,TRA2A,xxxxxx,xxxxxx
5,,exp,coexpression,13,,RPS15A,RPSA,xxxxxx,xxxxxx
6,,exp,coexpression,19,,C19orf66,ANGPTL6,xxxxxx,xxxxxx
7,,exp,coexpression,10,,RPL5,FBL,xxxxxx,xxxxxx
8,,exp,coexpression,16,,RPS5,RPL13,xxxxxx,xxxxxx
9,,exp,coexpression,13,,RPS10-NUDT3,FAU,xxxxxx,xxxxxx
10,,exp,coexpression,14,,SNRNP70,ECHDC2,xxxxxx,xxxxxx
11,,exp,coexpression,11,,MRPS30,MRPL44,xxxxxx,xxxxxx
12,,exp,coexpression,12,,ATAD3A,EIF5A,xxxxxx,xxxxxx
13,,exp,coexpression,10,,PSMC3,NDUFB10,xxxxxx,xxxxxx
14,,exp,coexpression,10,,ECM2,PDE5A,xxxxxx,xxxxxx
15,,exp,coexpression,11,,TMEM126A,MRPS11,xxxxxx,xxxxxx
16,,exp,coexpression,10,,ADRM1,MPV17L2,xxxxxx,xxxxxx
17,,exp,coexpression,10,,GATAD1,EXD3,xxxxxx,xxxxxx
18,,exp,coexpression,12,,MBD1,DDX55,xxxxxx,xxxxxx
19,,exp,coexpression,13,,RPL37,FAU,xxxxxx,xxxxxx
20,,exp,coexpression,11,,ATP5MG,SLIRP,xxxxxx,xxxxxx
21,,exp,coexpression,11,,CALR,P4HB,xxxxxx,xxxxxx
22,,exp,coexpression,11,,TTC14,CDK5RAP3,xxxxxx,xxxxxx
23,,exp,coexpression,10,,GPATCH4,DDX10,xxxxxx,xxxxxx
24,,exp,coexpression,10,,ADCY4,PEAR1,xxxxxx,xxxxxx
25,,exp,coexpression,11,,RSL1D1,RPL18A,xxxxxx,xxxxxx
26,,exp,coexpression,10,,MYO15B,SLC25A27,xxxxxx,xxxxxx
27,,exp,coexpression,16,,C1QC,FOLR2,xxxxxx,xxxxxx
28,,exp,coexpression,12,,MLLT6,SNRNP70,xxxxxx,xxxxxx
29,,exp,coexpression,12,,METTL1,NOLC1,xxxxxx,xxxxxx
30,,exp,coexpression,14,,PSMA3,PSMA5,xxxxxx,xxxxxx
31,,exp,coexpression,11,,RPS19,RPL5,xxxxxx,xxxxxx
32,,exp,coexpression,16,,CD53,EVI2B,xxxxxx,xxxxxx
33,,exp,coexpression,12,,SUCLG1,ATP5PO,xxxxxx,xxxxxx
34,,exp,coexpression,10,,TTC14,TRMT13,xxxxxx,xxxxxx
35,,exp,coexpression,17,,DDX17,TIA1,xxxxxx,xxxxxx
36,,exp,coexpression,10,,ARHGEF7,CLK3,xxxxxx,xxxxxx
37,,exp,coexpression,18,,RPL32,NBEAL1,xxxxxx,xxxxxx
38,,exp,coexpression,11,,HNRNPA1P48,NPM1,xxxxxx,xxxxxx
39,,exp,coexpression,10,,PAN3,METTL17,xxxxxx,xxxxxx
40,,exp,coexpression,10,,MYO1F,RASGRP4,xxxxxx,xxxxxx
41,,exp,coexpression,10,,PTRH2,TSPOAP1,xxxxxx,xxxxxx
42,,exp,coexpression,14,,PDIA4,TMED2,xxxxxx,xxxxxx
43,,exp,coexpression,10,,CYBB,HK3,xxxxxx,xxxxxx
44,,exp,coexpression,11,,EIF5AL1,ZNF862,xxxxxx,xxxxxx
45,,exp,coexpression,11,,TMEM219,RNASEH1,xxxxxx,xxxxxx
46,,exp,coexpression,11,,TMC8,IL2RG,xxxxxx,xxxxxx
47,,exp,coexpression,13,,PUM3,BYSL,xxxxxx,xxxxxx
48,,exp,coexpression,12,,PRPF39,HKR1,xxxxxx,xxxxxx
49,,exp,coexpression,17,,RPS10,RPL12,xxxxxx,xxxxxx
50,,exp,coexpression,13,,CCT5,HYOU1,xxxxxx,xxxxxx
51,,exp,coexpression,10,,SSR1,SURF4,xxxxxx,xxxxxx
52,,exp,coexpression,16,,NDUFA2,COX5B,xxxxxx,xxxxxx
53,,exp,coexpression,10,,MRPS16,RTN4IP1,xxxxxx,xxxxxx
54,,exp,coexpression,10,,PSME3,ACBD4,xxxxxx,xxxxxx
55,,exp,coexpression,13,,SEC61A1,OSTC,xxxxxx,xxxxxx
56,,exp,coexpression,12,,STOML2,NARS,xxxxxx,xxxxxx
57,,exp,coexpression,10,,CLPTM1L,SEC23B,xxxxxx,xxxxxx
58,,exp,coexpression,10,,SAP25,TRIM52,xxxxxx,xxxxxx
59,,exp,coexpression,10,,SRRT,CLK2,xxxxxx,xxxxxx
60,,exp,coexpression,10,,ZNF91,MSANTD2,xxxxxx,xxxxxx
61,,exp,coexpression,11,,SEC61G,SRPRB,xxxxxx,xxxxxx
62,,exp,coexpression,11,,MGAT2,YIPF5,xxxxxx,xxxxxx
63,,exp,coexpression,12,,PNISR,ZNF514,xxxxxx,xxxxxx
64,,exp,coexpression,12,,ARMC6,PSMD14,xxxxxx,xxxxxx
65,,exp,coexpression,10,,FARSA,NOP14,xxxxxx,xxxxxx
66,,exp,coexpression,10,,MRPS35,NME1,xxxxxx,xxxxxx
67,,exp,coexpression,10,,ERCC3,ZNF84,xxxxxx,xxxxxx
68,,exp,coexpression,10,,MRPL3,MAIP1,xxxxxx,xxxxxx
